Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
Dom Hemingway,Original Screenplay,Comedy,Live Action,False,7000000,4,2014,5499,4,0.57,0.55
The Extra Man,Based on Fiction Book/Short Story,Comedy,Live Action,False,7000000,9,2010,6296,28,-1,0.56
Hesher,Original Screenplay,Drama,Live Action,False,7000000,5,2011,9303,11,0.53,0.45
Chairman of the Board,Original Screenplay,Comedy,Live Action,False,7000000,3,1998,262945,196,0.13,-1
Gerry,Original Screenplay,Drama,Live Action,False,7000000,2,2003,34715,2,0.61,0.54
Wah-Wah,-1,-1,-1,False,7000000,5,2006,10080,26,-1,0.61
The Heart of Me,-1,-1,-1,False,7000000,6,2003,21956,5,0.48,0.53
Trudno byt bogom,Based on Fiction Book/Short Story,Drama,Live Action,False,7000000,-1,-1,-1,-1,0.95,-1
The Boondock Saints,Original Screenplay,Action,Live Action,True,7000000,1,2000,23787,5,-1,0.44
Snezhnaya koroleva,Original Screenplay,Adventure,Digital Animation,True,7000000,-1,-1,-1,-1,-1,-1
Oddball,Based on Real Life Events,Adventure,Animation/Live Action,False,7000000,-1,-1,-1,-1,0.87,-1
Z Storm,Original Screenplay,Action,Live Action,False,7000000,-1,-1,-1,-1,-1,-1
Geroy,Original Screenplay,Drama,Live Action,False,7000000,-1,-1,-1,-1,-1,-1
Twixt,Based on Real Life Events,Horror,Live Action,False,7000000,-1,-1,-1,-1,0.29,0.4
Criminal Activities,Original Screenplay,Thriller/Suspense,Live Action,False,7000000,-1,-1,-1,-1,0.48,0.51
High School Musical 2,Based on TV,Musical,Live Action,True,7000000,-1,-1,-1,-1,0.57,-1
The Kings of Appletown,Original Screenplay,Action,Live Action,False,7000000,-1,-1,-1,-1,-1,-1
Stargate - The Ark of Truth,Based on TV,Action,Live Action,False,7000000,-1,-1,-1,-1,-1,-1
Alpha & Omega: The Legend of the Saw Tooth Cave,Original Screenplay,Adventure,Digital Animation,True,7000000,-1,-1,-1,-1,-1,-1
Pale Rider,Original Screenplay,Western,Live Action,False,6900000,7,1985,1300000,1710,0.92,0.61
House at the End of the Street,Based on Fiction Book/Short Story,Horror,Live Action,False,6900000,9,2012,4621259,3083,0.11,0.31
Dazed and Confused,-1,-1,-1,False,6900000,-1,-1,-1,-1,0.91,0.78
Two Lovers and a Bear,Original Screenplay,Drama,Live Action,False,6840000,-1,-1,-1,-1,0.83,0.61
Incendies,Based on Play,Drama,Live Action,False,6800000,5,2011,60860,72,0.93,0.8
AimÃ©e & Jaguar,Based on Fiction Book/Short Story,Drama,Live Action,False,6800000,1,2001,59,2,-1,-1
The Chumscrubber,Original Screenplay,Drama,Live Action,False,6800000,8,2005,44426,28,-1,0.41
Shade,-1,-1,-1,False,6800000,4,2004,18951,1,0.67,0.4
Bran Nue Dae,Based on Musical or Opera,Musical,Live Action,False,6750000,9,2010,6341,16,0.56,0.54
"Remember Me, My Love",Original Screenplay,Comedy,Live Action,False,6700000,9,2004,25213,2,0.55,0.53
Perrierâs Bounty,-1,-1,-1,False,6600000,5,2010,828,1,0.56,0.47
Tropa de Elite,Original Screenplay,Action,Live Action,False,6537890,9,2008,5500,1,0.53,-1
Annabelle,Spin-Off,Horror,Live Action,True,6500000,10,2014,15453016,3185,0.29,0.37
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,Based on Real Life Events,Concert/Performance,Live Action,False,6500000,2,2008,8651758,683,0.72,-1
Boyz n the Hood,Original Screenplay,Drama,Live Action,False,6500000,7,1991,15229280,829,0.96,0.76
La Bamba,Based on Real Life Events,Drama,Live Action,False,6500000,7,1987,9142795,1251,0.96,0.65
The Four Seasons,Original Screenplay,Comedy,Live Action,False,6500000,5,1981,971396,634,0.75,0.55
Dressed to Kill,Original Screenplay,Thriller/Suspense,Live Action,False,6500000,-1,-1,-1,-1,0.84,0.74
The Adventures of Huck Finn,Based on Fiction Book/Short Story,Adventure,Live Action,False,6500000,4,1993,7401650,1786,-1,-1
Go!,Original Screenplay,Black Comedy,Live Action,False,6500000,4,1999,1715000,1563,-1,0.72
Friends with Money,Original Screenplay,Comedy,Live Action,False,6500000,4,2006,900000,991,0.72,0.68
The Andromeda Strain,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,6500000,-1,-1,-1,-1,-1,0.6
Bats,Original Screenplay,Horror,Live Action,False,6500000,10,1999,1380000,2560,0.17,0.23
Same Kind of Different as Me,Based on Factual Book/Article,Drama,Live Action,True,6500000,10,2017,1354347,1362,0.33,0.47
Nowhere in Africa,Based on Fiction Book/Short Story,Drama,Live Action,False,6500000,5,2003,90320,73,0.85,0.72
Shame,Original Screenplay,Drama,Live Action,False,6500000,12,2011,110476,10,0.68,0.72
Layer Cake,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,6500000,5,2005,95864,91,0.8,0.73
The East,Original Screenplay,Drama,Live Action,False,6500000,5,2013,19499,4,0.75,0.68
The Work and the Glory: American Zion,Based on Fiction Book/Short Story,Drama,Live Action,True,6500000,12,2005,4617,10,-1,-1
The Messenger,Original Screenplay,Drama,Live Action,False,6500000,11,2009,13005,40,0.89,0.77
A Home at the End of the World,Based on Fiction Book/Short Story,Drama,Live Action,False,6500000,7,2004,97743,5,0.5,0.59
Aberdeen,Original Screenplay,Drama,Live Action,False,6500000,8,2001,6997,1,0.87,0.78
Tracker,Original Screenplay,Action,Live Action,False,6500000,-1,-1,-1,-1,0.85,-1
The Terminator,Original Screenplay,Action,Live Action,True,6400000,10,1984,5560930,1005,1.0,0.84
"Good Bye, Lenin!",Original Screenplay,Comedy,Live Action,False,6400000,2,2004,84715,6,0.9,-1
Control,Based on Factual Book/Article,Drama,Live Action,False,6400000,1,2008,3038,12,0.88,0.78
The Damned United,Based on Factual Book/Article,Drama,Live Action,False,6400000,1,2010,63,6,-1,0.81
Die FÃ¤lscher,Based on Real Life Events,Drama,Live Action,False,6250000,5,2008,27349,107,-1,-1
Return of the Living Dead Part II,-1,-1,-1,True,6200000,1,1988,4576674,1467,-1,-1
Gomorra,Based on Fiction Book/Short Story,Drama,Live Action,False,6200000,2,2009,23735,5,-1,-1
Mallrats,Original Screenplay,Comedy,Live Action,False,6100000,10,1995,1472592,852,0.56,0.41
Grease,Based on Musical or Opera,Musical,Live Action,True,6000000,3,1998,6140000,2064,0.75,0.7
Platoon,Original Screenplay,Drama,Live Action,False,6000000,1,1987,2670565,73,0.88,0.92
Fahrenheit 9/11,Based on Real Life Events,Documentary,Live Action,False,6000000,6,2004,83922,2,0.82,0.67
Butch Cassidy and the Sundance Kid,Original Screenplay,Western,Live Action,True,6000000,-1,-1,-1,-1,-1,0.66
Mary Poppins,Based on Fiction Book/Short Story,Musical,Animation/Live Action,True,6000000,-1,-1,-1,-1,1.0,0.88
Ordinary People,Based on Fiction Book/Short Story,Drama,Live Action,False,6000000,-1,-1,-1,-1,0.91,0.87
Breaking In,Original Screenplay,Thriller/Suspense,Live Action,False,6000000,5,2018,4578710,2537,0.89,0.42
West Side Story,Based on Play,Musical,Live Action,False,6000000,-1,-1,-1,-1,0.94,0.86
Around the World in 80 Days,Based on Fiction Book/Short Story,Adventure,Live Action,True,6000000,-1,-1,-1,-1,-1,-1
Caddyshack,Original Screenplay,Comedy,Live Action,True,6000000,-1,-1,-1,-1,0.74,0.48
The Brothers,Original Screenplay,Comedy,Live Action,False,6000000,3,2001,3412000,1378,-1,0.5
The Wrestler,Original Screenplay,Drama,Live Action,False,6000000,12,2008,46928,4,0.98,0.81
Do the Right Thing,Original Screenplay,Comedy,Live Action,False,6000000,6,1989,5931085,353,0.9,0.91
Escape from New York,Original Screenplay,Action,Live Action,True,6000000,7,1981,6267381,579,-1,0.76
The Wood,Original Screenplay,Comedy,Live Action,False,6000000,7,1999,2790000,1191,-1,0.52
The Usual Suspects,Original Screenplay,Drama,Live Action,False,6000000,8,1995,1031917,42,-1,0.77
A Nightmare On Elm Street: The Dream Child,Original Screenplay,Horror,Live Action,True,6000000,8,1989,11104112,1902,-1,-1
National Lampoonâs Van Wilder,Original Screenplay,Comedy,Live Action,True,6000000,4,2002,2698000,2022,0.19,-1
Duel in the Sun,Based on Fiction Book/Short Story,Western,Live Action,True,6000000,-1,-1,-1,-1,0.8,-1
Best in Show,Original Screenplay,Comedy,Live Action,False,6000000,10,2000,134000,13,0.94,0.78
The Last King of Scotland,Based on Fiction Book/Short Story,Drama,Live Action,False,6000000,9,2006,15142,4,-1,0.74
A Mighty Wind,Original Screenplay,Comedy,Live Action,False,6000000,4,2003,308000,133,0.87,0.81
The Prodigy,Original Screenplay,Horror,Live Action,True,6000000,2,2019,2030705,2530,-1,0.45
The Possession of Hannah Grace,Original Screenplay,Horror,Live Action,False,6000000,11,2018,2570384,2065,0.2,0.37
School Daze,Original Screenplay,Drama,Live Action,False,6000000,-1,-1,-1,-1,0.59,0.49
Daddy Day Camp,Original Screenplay,Comedy,Live Action,True,6000000,8,2007,773706,2814,0.01,0.13
Mystic Pizza,Original Screenplay,Comedy,Live Action,False,6000000,10,1988,1586352,401,0.77,0.6
Mr. Nice Guy,Original Screenplay,Action,Live Action,False,6000000,3,1998,1700000,1463,-1,-1
War and Peace,-1,-1,-1,False,6000000,-1,-1,-1,-1,-1,0.68
Sliding Doors,Original Screenplay,Drama,Live Action,False,6000000,5,1998,500000,495,0.62,0.59
Tales from the Hood,Original Screenplay,Horror,Live Action,False,6000000,5,1995,4558391,862,0.47,-1
Halloween 5: The Revenge of Michael Myers,-1,-1,-1,True,6000000,10,1989,6332953,1483,0.13,0.28
The Words,Based on Fiction Book/Short Story,Drama,Live Action,False,6000000,9,2012,1582843,2801,0.24,0.37
Bernie,Original Screenplay,Black Comedy,Live Action,False,6000000,5,2012,75000,194,-1,0.75
Pollock,Based on Real Life Events,Drama,Live Action,False,6000000,2,2001,39933,38,0.81,0.77
Dolphins and Whales Tribes of the Ocean 3D,Based on Real Life Events,Documentary,Live Action,False,6000000,5,2008,23814,14,-1,-1
200 Cigarettes,Original Screenplay,Romantic Comedy,Live Action,False,6000000,2,1999,1120000,976,-1,-1
City Island,Original Screenplay,Comedy,Live Action,False,6000000,3,2010,10538,2,0.81,0.66
Casa de mi Padre,Original Screenplay,Comedy,Live Action,False,6000000,3,2012,780056,382,0.41,0.52
The Guard,Original Screenplay,Comedy,Live Action,False,6000000,9,2011,183433,178,-1,0.78
The Virgin Suicides,Based on Fiction Book/Short Story,Black Comedy,Live Action,False,6000000,4,2000,63000,18,-1,0.76
College,Original Screenplay,Comedy,Live Action,False,6000000,8,2008,716701,2123,-1,0.15
La science des rÃªves,Original Screenplay,Comedy,Live Action,False,6000000,10,2006,87514,221,-1,-1
Little Voice,Based on Play,Musical,Live Action,False,6000000,12,1998,135335,6,0.79,0.68
Miss March,Original Screenplay,Comedy,Live Action,False,6000000,3,2009,880954,1742,-1,0.07
Simply Irresistible,Original Screenplay,Romantic Comedy,Live Action,False,6000000,2,1999,755000,1359,0.13,0.27
Wish I Was Here,Original Screenplay,Comedy,Live Action,False,6000000,7,2014,150266,68,0.46,0.43
Venus,Original Screenplay,Drama,Live Action,False,6000000,12,2006,13267,3,0.89,0.82
Veronica Mars,Based on TV,Drama,Live Action,True,6000000,3,2014,1003751,291,0.79,0.62
Only the Strong,-1,-1,-1,False,6000000,-1,-1,-1,-1,0.0,-1
Hedwig and the Angry Inch,Based on Musical or Opera,Musical,Live Action,False,6000000,7,2001,251557,9,0.93,0.85
Shattered Glass,Based on Real Life Events,Drama,Live Action,False,6000000,1,2004,3068,25,0.91,0.73
The Wackness,Original Screenplay,Comedy,Live Action,False,6000000,9,2008,5347,51,-1,0.61
Novocaine,Original Screenplay,Comedy,Live Action,False,6000000,11,2001,605113,105,0.38,0.45
Polytechnique,Based on Real Life Events,Drama,Live Action,False,6000000,3,2009,81974,40,-1,0.63
Snow Flower and the Secret Fan,Based on Fiction Book/Short Story,Drama,Live Action,False,6000000,7,2011,38734,24,0.22,0.42
Mandy,Original Screenplay,Thriller/Suspense,Live Action,False,6000000,9,2018,37336,64,-1,0.81
The Business of Strangers,Original Screenplay,Drama,Live Action,False,6000000,12,2001,104960,8,-1,0.67
JÃ»san-nin no shikaku,Remake,Action,Live Action,False,6000000,5,2011,28307,31,-1,-1
Beastmaster 2: Through the Portal of Time,Based on Fiction Book/Short Story,-1,-1,True,6000000,-1,-1,-1,-1,0.17,-1
The Wild Bunch,Original Screenplay,Western,Live Action,False,6000000,3,1995,127769,13,0.94,0.95
The First Great Train Robbery,Based on Fiction Book/Short Story,Action,Live Action,False,6000000,-1,-1,-1,-1,-1,-1
Morvern Callar,-1,-1,-1,False,6000000,12,2002,23390,3,0.84,0.78
The Flower of Evil,-1,-1,-1,False,6000000,10,2003,17824,2,-1,0.67
Akmareul Boatda,Original Screenplay,Thriller/Suspense,Live Action,False,6000000,3,2011,21602,2,-1,-1
Come Early Morning,Original Screenplay,Drama,Live Action,False,6000000,11,2006,67580,22,0.83,0.64
The Greatest,-1,-1,-1,False,6000000,4,2010,48355,8,-1,0.45
Deadfall,Original Screenplay,Thriller/Suspense,Live Action,False,6000000,12,2012,28743,11,-1,0.52
Julia,-1,-1,-1,False,6000000,5,2009,1104,1,-1,0.62
Lucky Break,-1,-1,-1,False,6000000,4,2002,11186,6,0.48,0.48
"Surfer, Dude",Original Screenplay,Comedy,Live Action,False,6000000,9,2008,6789,1,0.0,0.16
Song One,Original Screenplay,Drama,Live Action,False,6000000,1,2015,27164,27,0.34,0.48
Lake of Fire,Based on Real Life Events,Documentary,Live Action,False,6000000,10,2007,5470,1,0.94,0.83
Don McKay,-1,-1,-1,False,6000000,4,2010,3976,7,0.38,0.5
11:14,Original Screenplay,Drama,Live Action,False,6000000,-1,-1,-1,-1,0.92,0.65
Icarus,Original Screenplay,Action,Live Action,False,6000000,-1,-1,-1,-1,-1,0.68
Men of War,-1,-1,-1,False,6000000,-1,-1,-1,-1,-1,-1
A Shine of Rainbows,-1,-1,-1,False,6000000,-1,-1,-1,-1,-1,0.52
Freaky Deaky,Based on Fiction Book/Short Story,Comedy,Live Action,False,6000000,-1,-1,-1,-1,-1,-1
The Hit List,Original Screenplay,Thriller/Suspense,Live Action,False,6000000,-1,-1,-1,-1,-1,-1
Videodrome,Original Screenplay,Horror,Live Action,False,5952000,2,1983,1543000,600,0.79,0.6
Emma,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,5900000,8,1996,427377,9,-1,0.66
L\'auberge espagnole,Original Screenplay,Comedy,Live Action,False,5900000,5,2003,72135,27,0.76,0.65
Planet of the Apes,-1,-1,-1,True,5800000,-1,-1,-1,-1,-1,0.5
The Train,-1,-1,-1,False,5800000,-1,-1,-1,-1,1.0,-1
Winter in Wartime,Based on Fiction Book/Short Story,Drama,Live Action,False,5800000,5,2011,4628,13,0.75,0.66
Foolproof,-1,-1,-1,False,5800000,10,2003,230312,189,-1,-1
Trade of Innocents,Original Screenplay,Thriller/Suspense,Live Action,False,5800000,10,2012,1015,1,0.0,0.29
Tom yum goong,Original Screenplay,Action,Live Action,True,5700000,9,2006,1814669,1541,-1,-1
Stiff Upper Lips,-1,-1,-1,False,5700000,8,1999,22978,1,-1,-1
The Inbetweeners,Based on TV,Comedy,Live Action,True,5700000,9,2012,35955,10,0.54,-1
Valhalla Rising,Original Screenplay,Action,Live Action,False,5700000,7,2010,12516,1,0.7,0.61
Bend it Like Beckham,Original Screenplay,Drama,Live Action,False,5600000,5,2003,697355,483,0.85,0.66
Crossover,Original Screenplay,Drama,Live Action,False,5600000,9,2006,1187505,1023,0.02,0.3
Sunshine State,Original Screenplay,Drama,Live Action,False,5600000,6,2002,150833,10,0.8,0.69
Standing Ovation,-1,-1,-1,False,5600000,7,2010,513750,625,-1,0.22
Khiladi 786,-1,-1,-1,False,5600000,12,2012,92856,115,0.0,-1
[Rec] 2,-1,-1,-1,True,5600000,7,2010,12046,5,0.68,0.52
The Sting,Original Screenplay,Comedy,Live Action,True,5500000,-1,-1,-1,-1,-1,0.8
Chariots of Fire,Based on Real Life Events,Drama,Live Action,False,5500000,9,1981,106011,3,0.84,0.78
Diary of a Mad Black Woman,Based on Play,Drama,Live Action,True,5500000,2,2005,7400000,1483,0.16,0.36
Shine,Based on Real Life Events,Drama,Live Action,False,5500000,11,1996,200338,7,0.91,0.87
Don Jon,Original Screenplay,Romantic Comedy,Live Action,False,5500000,9,2013,3288247,2422,0.79,0.66
High Plains Drifter,Original Screenplay,Western,Live Action,False,5500000,-1,-1,-1,-1,0.96,0.69
Hell Fest,Original Screenplay,Horror,Live Action,False,5500000,9,2018,2040141,2297,0.39,0.26
Mambo Italiano,Based on Play,Comedy,Live Action,False,5500000,8,2003,49581,13,0.32,0.41
Ghost World,Based on Comic/Graphic Novel,Comedy,Live Action,False,5500000,8,2001,110000,23,0.92,0.88
Iris,Based on Fiction Book/Short Story,Drama,Live Action,False,5500000,12,2001,10585,1,-1,0.76
Galaxina,-1,-1,-1,False,5500000,-1,-1,-1,-1,0.17,-1
Les Choristes,Remake,Drama,Live Action,False,5500000,1,2005,4904,2,-1,-1
Wonderland,Based on Real Life Events,Drama,Live Action,False,5500000,10,2003,128320,5,0.34,0.43
De battre mon coeur s'est arrÃªtÃ©,Original Screenplay,Drama,Live Action,False,5500000,7,2005,15912,5,-1,-1
Haevnen,Original Screenplay,Drama,Live Action,False,5500000,5,2011,3696,28,-1,-1
Le Havre,Original Screenplay,Drama,Live Action,False,5500000,10,2011,40374,6,0.99,0.82
Harvard Man,-1,-1,-1,False,5500000,5,2002,8425,1,0.33,0.49
Salvation Boulevard,Original Screenplay,Comedy,Live Action,False,5500000,7,2011,13080,4,0.21,0.35
R100,Original Screenplay,Black Comedy,Live Action,False,5500000,1,2015,15963,11,-1,-1
Miss Julie,Based on Play,Drama,Live Action,False,5500000,-1,-1,-1,-1,-1,0.46
Animals,Based on Fiction Book/Short Story,Horror,Live Action,False,5500000,-1,-1,-1,-1,-1,0.71
