Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
The Pledge,Based on Fiction Book/Short Story,Drama,Live Action,False,45000000,1,2001,1585000,1275,0.78,0.71
The Producers: The Movie Musical,Remake,Musical,Live Action,False,45000000,12,2005,1686750,975,-1,-1
The Phantom,Based on Comic/Graphic Novel,Action,Live Action,False,45000000,6,1996,7095004,2159,-1,-1
Rebound,Original Screenplay,Comedy,Live Action,False,45000000,7,2005,1738487,2464,0.14,0.36
The Ghost Writer,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,45000000,2,2010,48671,4,-1,0.77
All the Pretty Horses,Based on Fiction Book/Short Story,Western,Live Action,False,45000000,12,2000,1304971,1483,0.32,0.55
Bangkok Dangerous,Remake,Action,Live Action,False,45000000,9,2008,2742090,2650,0.08,0.24
Nixon,Based on Real Life Events,Drama,Live Action,False,45000000,12,1995,3964576,514,0.75,0.66
Dredd,Based on Comic/Graphic Novel,Action,Live Action,False,45000000,9,2012,2219943,2506,0.78,0.6
The Rum Diary,Based on Fiction Book/Short Story,Drama,Live Action,False,45000000,10,2011,1841255,2272,-1,0.56
Deep Rising,Original Screenplay,Action,Live Action,False,45000000,1,1998,1430000,1758,0.29,-1
Welcome to Marwen,Based on Movie,Drama,Live Action,True,45000000,12,2018,903925,1911,0.33,0.4
Johnny English Reborn,Original Screenplay,Adventure,Live Action,True,45000000,10,2011,1163845,1552,0.38,0.46
Miracle at St. Anna,Based on Fiction Book/Short Story,Drama,Live Action,False,45000000,9,2008,967329,1185,0.33,0.37
Big Trouble,Based on Fiction Book/Short Story,Comedy,Live Action,False,45000000,4,2002,1201000,1961,-1,0.47
Man cheng jin dai huang jin jia,Based on Play,Action,Live Action,False,45000000,12,2006,232565,60,-1,-1
Love in the Time of Cholera,Based on Fiction Book/Short Story,Drama,Live Action,False,45000000,11,2007,647000,852,0.26,0.43
Pinocchio,Based on Fiction Book/Short Story,Adventure,Live Action,False,45000000,12,2002,2167435,1195,-1,0.11
Shadow Conspiracy,Original Screenplay,Thriller/Suspense,Live Action,False,45000000,1,1997,1770434,837,0.0,-1
Foodfight!,Original Screenplay,Adventure,Digital Animation,False,45000000,-1,-1,-1,-1,-1,-1
Argo,Based on Factual Book/Article,Thriller/Suspense,Live Action,True,44500000,10,2012,5891522,3232,-1,0.86
The Fugitive,Based on TV,Thriller/Suspense,Live Action,True,44000000,8,1993,37617961,2340,-1,0.87
Rambo: First Blood Part II,Based on Fiction Book/Short Story,Action,Live Action,True,44000000,7,1985,1300000,1956,0.34,0.47
Sleepers,Based on Fiction Book/Short Story,Drama,Live Action,False,44000000,10,1996,16746377,1915,-1,0.49
Charlie St. Cloud,Based on Fiction Book/Short Story,Drama,Live Action,False,44000000,7,2010,5626995,2718,0.27,0.37
The Juror,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,44000000,2,1996,10713058,2205,-1,-1
The Interview,Original Screenplay,Comedy,Live Action,False,44000000,12,2014,1086286,331,-1,0.52
Heaven's Gate,-1,-1,-1,False,44000000,-1,-1,-1,-1,0.57,0.57
The Heat,Original Screenplay,Comedy,Live Action,True,43000000,6,2013,13718456,3181,0.65,0.6
Finding Forrester,Original Screenplay,Drama,Live Action,False,43000000,12,2000,476012,200,0.74,0.62
28 Days,Original Screenplay,Comedy,Live Action,False,43000000,4,2000,3686400,2560,0.32,0.46
Danny the Dog,Original Screenplay,Action,Live Action,False,43000000,5,2005,3700000,1955,0.66,-1
The Sweetest Thing,Original Screenplay,Romantic Comedy,Live Action,False,43000000,4,2002,3387000,2670,-1,0.32
The Girl in the Spiderâs Web,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,43000000,11,2018,3037438,2929,0.4,0.43
A Monster Calls,Based on Fiction Book/Short Story,Drama,Live Action,False,43000000,12,2016,14974,4,0.86,0.76
The Mechanic,Remake,Action,Live Action,True,42500000,1,2011,3612617,2703,0.53,0.49
The Firm,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,42000000,6,1993,7225412,2393,-1,0.58
21 Jump Street,Based on TV,Comedy,Live Action,True,42000000,3,2012,13239489,3121,-1,0.69
Notting Hill,Original Screenplay,Romantic Comedy,Live Action,False,42000000,5,1999,6635000,2745,0.83,0.66
Chicken Run,Original Screenplay,Adventure,Stop-Motion Animation,False,42000000,6,2000,47328,6,0.97,0.88
Along Came Polly,Original Screenplay,Romantic Comedy,Live Action,False,42000000,1,2004,8877225,2984,0.26,0.44
Boomerang,Original Screenplay,Comedy,Live Action,False,42000000,7,1992,21153750,2127,-1,0.45
BrÃ¼no,Based on TV,Comedy,Live Action,False,42000000,7,2009,14400065,2756,-1,-1
Cleopatra,Based on Real Life Events,Drama,Live Action,False,42000000,-1,-1,-1,-1,-1,0.6
Snatched,Original Screenplay,Comedy,Live Action,True,42000000,5,2017,5011682,3501,-1,0.45
Here Comes the Boom,Original Screenplay,Comedy,Live Action,False,42000000,10,2012,3596217,3014,0.4,0.4
High Crimes,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,42000000,4,2002,4729000,2717,0.31,0.48
The Mirror Has Two Faces,Original Screenplay,Romantic Comedy,Live Action,False,42000000,11,1996,16083022,2489,-1,-1
Red Riding Hood,Based on Folk Tale/Legend/Fairytale,Thriller/Suspense,Live Action,False,42000000,3,2011,4985138,3030,-1,0.29
The Mothman Prophecies,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,42000000,1,2002,3855000,2331,-1,0.52
Licence to Kill,Based on Fiction Book/Short Story,Action,Live Action,True,42000000,7,1989,13034619,1575,0.77,0.58
Holmes & Watson,Based on Fiction Book/Short Story,Comedy,Live Action,True,42000000,12,2018,6434922,2719,-1,-1
One for the Money,Based on Fiction Book/Short Story,Comedy,Live Action,False,42000000,1,2012,4100384,2737,0.02,0.22
15 Minutes,Original Screenplay,Thriller/Suspense,Live Action,False,42000000,3,2001,3210000,2337,0.32,0.34
Lord of War,Original Screenplay,Action,Live Action,False,42000000,9,2005,3131489,2814,0.61,0.62
Super Mario Bros.,Based on Game,Action,Live Action,False,42000000,5,1993,9675034,2081,0.14,-1
Hero,Original Screenplay,Comedy,Live Action,False,42000000,10,1992,6689057,1826,0.95,0.85
Man on a Ledge,Original Screenplay,Thriller/Suspense,Live Action,False,42000000,1,2012,2491173,2998,0.32,0.4
The Warrior's Way,Original Screenplay,Western,Live Action,False,42000000,12,2010,1119875,1622,0.28,0.45
McHale's Navy,Based on TV,Comedy,Live Action,False,42000000,4,1997,2777815,1858,-1,0.18
Micmacs,-1,-1,-1,False,42000000,5,2010,9163,4,0.73,0.62
Les BronzÃ©s 3: amis pour la vie,-1,-1,-1,True,42000000,-1,-1,-1,-1,-1,-1
Pourquoi j'ai pas mangÃ© mon pÃ¨re,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,42000000,-1,-1,-1,-1,-1,-1
8 Mile,Original Screenplay,Drama,Live Action,False,41000000,11,2002,19575000,2471,0.75,0.77
A Knightâs Tale,Original Screenplay,Adventure,Live Action,False,41000000,5,2001,5860000,2980,-1,0.56
The Medallion,Original Screenplay,Comedy,Live Action,False,41000000,8,2003,2877000,2648,-1,0.38
The Big Year,Based on Factual Book/Article,Comedy,Live Action,False,41000000,10,2011,1151215,2150,0.41,0.53
The Sixth Sense,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,8,1999,8005000,2161,-1,0.64
Wedding Crashers,Original Screenplay,Comedy,Live Action,False,40000000,7,2005,10316000,2925,0.76,0.64
The Karate Kid,Remake,Adventure,Live Action,True,40000000,6,2010,18816278,3663,-1,0.61
Fifty Shades of Grey,Based on Fiction Book/Short Story,Drama,Live Action,True,40000000,2,2015,30278840,3646,0.25,0.46
The Proposal,Original Screenplay,Romantic Comedy,Live Action,False,40000000,6,2009,12727079,3056,-1,0.48
American Hustle,Based on Real Life Events,Black Comedy,Live Action,False,40000000,12,2013,210910,6,0.92,0.9
Cheaper by the Dozen,Remake,Comedy,Live Action,True,40000000,12,2003,8175000,3298,0.24,0.46
Lucy,Original Screenplay,Action,Live Action,True,40000000,7,2014,17088110,3173,-1,0.61
Lone Survivor,Based on Factual Book/Article,Action,Live Action,True,40000000,12,2013,36842,2,0.76,0.6
Back to the Future Part II,Original Screenplay,Adventure,Live Action,True,40000000,11,1989,7236200,1865,-1,0.57
Double Jeopardy,Original Screenplay,Action,Live Action,False,40000000,9,1999,7520000,2549,-1,0.4
Spy Kids 3-D: Game Over,Original Screenplay,Adventure,Live Action,True,40000000,7,2003,12146000,3344,0.45,0.57
A Time to Kill,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,7,1996,23431897,2123,-1,0.54
A League of Their Own,Original Screenplay,Comedy,Live Action,False,40000000,7,1992,21915514,1782,-1,0.67
The Conjuring 2: The Enfield Poltergeist,Original Screenplay,Horror,Live Action,True,40000000,6,2016,16389229,3343,0.8,-1
The Social Network,Based on Real Life Events,Drama,Live Action,False,40000000,10,2010,8000169,2771,0.95,0.95
Julie & Julia,Based on Fiction Book/Short Story,Comedy,Live Action,False,40000000,8,2009,6492315,2354,-1,-1
He's Just Not That Into You,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,40000000,2,2009,10435339,3175,0.4,0.47
John Wick: Chapter Two,Original Screenplay,Action,Live Action,True,40000000,2,2017,10965602,3113,0.89,-1
Ride Along 2,Original Screenplay,Comedy,Live Action,True,40000000,1,2016,11905330,3175,0.13,0.32
Scary Movie 4,Original Screenplay,Comedy,Live Action,True,40000000,4,2006,19017001,3602,0.36,0.4
Get Hard,Original Screenplay,Comedy,Live Action,True,40000000,3,2015,12904507,3175,0.28,0.34
Scream 3,Original Screenplay,Horror,Live Action,True,40000000,2,2000,13309000,3465,0.36,0.56
Back to the Future Part III,Original Screenplay,Adventure,Live Action,True,40000000,5,1990,27761250,2019,-1,0.55
The Accountant,Original Screenplay,Thriller/Suspense,Live Action,True,40000000,10,2016,9072320,3332,-1,0.51
Dumb and Dumber To,Original Screenplay,Comedy,Live Action,True,40000000,11,2014,14226115,3154,0.3,0.36
The Other Woman,Original Screenplay,Comedy,Live Action,True,40000000,4,2014,9287804,3205,-1,0.37
Bram Stoker's Dracula,Based on Fiction Book/Short Story,Horror,Live Action,False,40000000,11,1992,38705381,2491,0.72,-1
Eight Below,Remake,Adventure,Live Action,False,40000000,2,2006,5093211,3066,0.72,0.64
The Talented Mr. Ripley,Based on Fiction Book/Short Story,Drama,Live Action,True,40000000,12,1999,6389000,2305,-1,0.76
The Intern,Original Screenplay,Comedy,Live Action,True,40000000,9,2015,6223992,3305,0.59,0.51
The Last of the Mohicans,Based on Fiction Book/Short Story,Action,Live Action,False,40000000,9,1992,14695833,1491,-1,0.76
Ray,Based on Real Life Events,Drama,Live Action,False,40000000,10,2004,6700000,2006,0.8,0.73
Sin City,Based on Comic/Graphic Novel,Action,Live Action,True,40000000,4,2005,11900000,3230,0.77,0.74
Bridge of Spies,Original Screenplay,Thriller/Suspense,Live Action,True,40000000,10,2015,5369922,2811,0.91,0.81
Vantage Point,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,2,2008,7945634,3149,0.34,0.4
"I Love You, Man",Original Screenplay,Comedy,Live Action,False,40000000,3,2009,6298041,2711,0.83,0.7
Shallow Hal,Original Screenplay,Romantic Comedy,Live Action,False,40000000,11,2001,7420000,2771,0.5,0.48
JFK,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,12,1991,10182720,1164,-1,0.72
Big Momma's House 2,Original Screenplay,Comedy,Live Action,True,40000000,1,2006,8374500,3261,-1,0.34
The House with a Clock in its Walls,Based on Fiction Book/Short Story,Horror,Live Action,True,40000000,9,2018,7792860,3592,0.67,0.57
Hacksaw Ridge,Based on Real Life Events,Drama,Live Action,True,40000000,11,2016,5340939,2886,0.86,0.71
The Mexican,Original Screenplay,Action,Live Action,False,40000000,3,2001,6512000,2951,-1,0.43
The Final Destination,Original Screenplay,Horror,Live Action,True,40000000,8,2009,10846068,3121,0.28,0.3
17 Again,Original Screenplay,Comedy,Live Action,False,40000000,4,2009,9417156,3255,0.56,0.48
Unknown,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,2,2011,6739166,3043,0.38,0.44
Get Him to the Greek,Spin-Off,Comedy,Live Action,False,40000000,6,2010,6257040,2697,-1,0.65
Gothika,Original Screenplay,Horror,Live Action,False,40000000,11,2003,6900000,2382,0.14,0.38
Behind Enemy Lines,Original Screenplay,Action,Live Action,True,40000000,11,2001,6412000,2768,-1,0.49
The Lincoln Lawyer,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,40000000,3,2011,4087192,2707,0.84,0.63
Shall We Dance?,Remake,Romantic Comedy,Live Action,False,40000000,10,2004,3700000,1772,0.46,0.47
Invincible,Based on Real Life Events,Drama,Live Action,False,40000000,8,2006,5400691,2917,0.72,0.63
Escape From Planet Earth,Original Screenplay,Adventure,Digital Animation,False,40000000,2,2013,3701254,3288,-1,0.35
Small Soldiers,Original Screenplay,Adventure,Live Action,False,40000000,7,1998,4785000,2539,0.48,-1
Spawn,Based on Comic/Graphic Novel,Action,Live Action,False,40000000,8,1997,8391977,2536,0.18,0.34
Horrible Bosses 2,Original Screenplay,Comedy,Live Action,True,40000000,11,2014,4252445,3321,0.33,0.4
The Count of Monte Cristo,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,1,2002,3741000,2007,-1,0.61
The Prestige,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,40000000,10,2006,5142402,2281,-1,0.66
The Lake House,Remake,Drama,Live Action,False,40000000,6,2006,5079658,2645,0.36,0.52
Predators,Original Screenplay,Action,Live Action,True,40000000,7,2010,10406494,2669,-1,0.51
The Odd Life of Timothy Green,Original Screenplay,Drama,Live Action,True,40000000,8,2012,2303636,2551,0.35,0.47
The Living Daylights,Based on Fiction Book/Short Story,Action,Live Action,True,40000000,7,1987,17083646,1728,-1,0.6
Apocalypto,Original Screenplay,Action,Live Action,False,40000000,12,2006,4904946,2465,0.65,0.68
Music and Lyrics,Original Screenplay,Romantic Comedy,Live Action,False,40000000,2,2007,4155401,2929,0.62,0.59
Legal Eagles,Original Screenplay,Comedy,Live Action,False,40000000,6,1986,12336480,1248,0.47,-1
Secret Window,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,40000000,3,2004,7100000,3018,0.46,0.46
The Skeleton Key,Original Screenplay,Horror,Live Action,False,40000000,8,2005,5957650,2770,-1,0.47
Jersey Boys,Based on Real Life Events,Drama,Live Action,True,40000000,6,2014,4644888,2905,0.52,0.54
Made of Honor,Original Screenplay,Romantic Comedy,Live Action,False,40000000,5,2008,5554961,2729,0.15,0.37
The Rainmaker,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,11,1997,3105000,2317,-1,0.72
Medicine Man,Original Screenplay,Drama,Live Action,False,40000000,2,1992,10830122,1304,-1,-1
Amistad,Based on Real Life Events,Drama,Live Action,True,40000000,12,1997,1385000,322,0.77,0.63
A Million Ways to Die in The West,Original Screenplay,Comedy,Live Action,False,40000000,5,2014,6156590,3158,0.33,0.44
Final Destination 5,Original Screenplay,Horror,Live Action,True,40000000,8,2011,7339561,3155,0.62,0.5
Widows,Based on TV,Thriller/Suspense,Live Action,True,40000000,11,2018,4204512,2803,-1,0.84
Fever Pitch,Based on Fiction Book/Short Story,Comedy,Live Action,False,40000000,4,2005,4521644,3267,0.65,0.56
Aliens vs. Predator - Requiem,Based on Movie,Action,Live Action,True,40000000,12,2007,9515615,2563,-1,-1
The Water Horse: Legend of the Deep,Based on Folk Tale/Legend/Fairytale,Drama,Live Action,False,40000000,12,2007,2385644,2772,-1,-1
Sex Tape,Original Screenplay,Comedy,Live Action,False,40000000,7,2014,5670011,3062,0.16,0.36
Scream 4,Original Screenplay,Horror,Live Action,True,40000000,4,2011,8241236,3305,0.59,0.52
Ri¢hie Ri¢h,Original Screenplay,Comedy,Live Action,False,40000000,12,1994,12168126,1748,-1,-1
Autumn in New York,Original Screenplay,Drama,Live Action,False,40000000,8,2000,3631000,2255,0.19,0.24
Paul,Original Screenplay,Comedy,Live Action,False,40000000,3,2011,4469190,2802,0.71,0.57
The Guilt Trip,Original Screenplay,Comedy,Live Action,False,40000000,12,2012,1029734,2431,0.37,0.5
Colombiana,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,8,2011,3726068,2614,0.29,0.45
8MM,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,2,1999,4565000,2370,0.22,0.19
The Commuter,Original Screenplay,Action,Live Action,False,40000000,1,2018,4509520,2892,0.57,0.56
Hanging Up,Original Screenplay,Comedy,Live Action,False,40000000,2,2000,3708000,2620,0.12,0.33
The Doors,Based on Real Life Events,Drama,Live Action,False,40000000,3,1991,12073320,840,-1,0.62
Mickey Blue Eyes,Original Screenplay,Comedy,Live Action,False,40000000,8,1999,3135000,2573,0.45,0.49
Pay it Forward,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,10,2000,3115000,2130,0.4,0.4
Arthur,Remake,Comedy,Live Action,False,40000000,4,2011,4498436,3276,-1,0.36
Drillbit Taylor,Original Screenplay,Comedy,Live Action,False,40000000,3,2008,4099971,3056,0.26,0.41
Patriots Day,Based on Real Life Events,Thriller/Suspense,Live Action,False,40000000,12,2016,64644,7,-1,0.69
Extremely Loud and Incredibly Close,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,12,2011,72348,6,0.46,0.46
The Shadow,Based on Comic/Graphic Novel,Action,Live Action,False,40000000,7,1994,14589900,1677,0.67,-1
Transporter 3,Original Screenplay,Action,Live Action,True,40000000,11,2008,3324762,2626,0.38,0.51
Morning Glory,Original Screenplay,Comedy,Live Action,False,40000000,11,2010,1067685,2518,0.67,0.57
Get Rich or Die Tryin',Original Screenplay,Drama,Live Action,False,40000000,11,2005,3624378,1652,0.16,0.45
The Art of War,Original Screenplay,Thriller/Suspense,Live Action,True,40000000,8,2000,3332000,2630,-1,0.3
Grudge Match,Original Screenplay,Comedy,Live Action,False,40000000,12,2013,3957484,2838,0.31,0.35
Bless the Child,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,40000000,8,2000,3006000,2524,0.03,0.17
Rent,Based on Musical or Opera,Musical,Live Action,False,40000000,11,2005,4751680,2433,-1,0.53
The Out-of-Towners,Remake,Comedy,Live Action,False,40000000,4,1999,2635000,2102,-1,0.33
The Nut Job 2: Nutty by Nature,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,40000000,8,2017,3010381,4003,0.15,0.36
The Island of Dr. Moreau,Based on Fiction Book/Short Story,Adventure,Live Action,False,40000000,8,1996,12149881,2035,-1,-1
The Musketeer,Based on Fiction Book/Short Story,Adventure,Live Action,False,40000000,9,2001,3481000,2435,-1,0.27
Resident Evil: The Final Chapter,Based on Game,Action,Live Action,True,40000000,1,2017,5048319,3104,0.37,0.49
The Other Boleyn Girl,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,2,2008,2833063,1166,-1,0.5
The House,Original Screenplay,Comedy,Live Action,True,40000000,6,2017,3353026,3134,-1,0.3
Sweet November,Remake,Drama,Live Action,False,40000000,2,2001,1281272,2268,-1,0.27
The Reaping,Original Screenplay,Horror,Live Action,False,40000000,4,2007,1933315,2501,0.08,0.36
Season of the Witch,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,1,2011,3762152,2816,-1,-1
Renaissance Man,Original Screenplay,Comedy,Live Action,False,40000000,6,1994,8209157,1764,0.12,0.44
Quest for Camelot,Based on Fiction Book/Short Story,Adventure,Hand Animation,False,40000000,5,1998,1505000,3107,0.35,-1
City by the Sea,Based on Factual Book/Article,Drama,Live Action,False,40000000,9,2002,2925000,2575,0.47,0.5
At First Sight,Original Screenplay,Drama,Live Action,False,40000000,1,1999,2220000,1814,-1,0.4
Mechanic: Resurrection,Original Screenplay,Action,Live Action,True,40000000,8,2016,2607553,2258,0.32,0.38
Torque,Original Screenplay,Action,Live Action,False,40000000,1,2004,3368100,2463,-1,0.41
Fantastic Mr. Fox,Based on Fiction Book/Short Story,Adventure,Stop-Motion Animation,False,40000000,11,2009,71614,4,-1,0.83
Showgirls,Original Screenplay,Drama,Live Action,False,40000000,9,1995,11074253,1388,0.22,0.16
City Hall,Original Screenplay,Drama,Live Action,False,40000000,2,1996,9566102,1815,0.54,-1
Big Miracle,Based on Real Life Events,Drama,Live Action,False,40000000,2,2012,2267385,2129,0.75,0.61
The Impossible,Based on Real Life Events,Drama,Live Action,False,40000000,12,2012,37726,15,0.81,0.73
A Thousand Words,Original Screenplay,Comedy,Live Action,False,40000000,3,2012,1913397,1890,0.0,0.26
Marie Antoinette,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,10,2006,1920658,859,-1,0.65
Get Carter,Remake,Drama,Live Action,False,40000000,10,2000,1997000,2315,0.87,0.24
Kiss of Death,Remake,Drama,Live Action,False,40000000,4,1995,6962496,1623,-1,-1
"Life, or Something Like It",Original Screenplay,Romantic Comedy,Live Action,False,40000000,4,2002,2288000,2604,0.28,0.31
Ishtar,Original Screenplay,Comedy,Live Action,False,40000000,5,1987,5700381,1139,0.38,0.52
Memoirs of an Invisible Man,Based on Fiction Book/Short Story,Comedy,Live Action,False,40000000,2,1992,5938331,1753,0.23,0.48
Amelia,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,10,2009,1321065,820,-1,0.37
Cirque du Freak: The Vampire's Assistant,Based on Fiction Book/Short Story,Action,Live Action,False,40000000,10,2009,2230745,2754,-1,0.43
New York Minute,Original Screenplay,Comedy,Live Action,False,40000000,5,2004,2200000,3006,0.11,0.33
The Deep End of the Ocean,Based on Fiction Book/Short Story,Drama,Live Action,False,40000000,3,1999,1770000,1907,-1,0.45
Alfie,Remake,Comedy,Live Action,False,40000000,11,2004,2200000,2215,0.48,0.49
FearDotCom,Original Screenplay,Horror,Live Action,False,40000000,8,2002,1800000,2550,-1,0.16
Soul Men,Original Screenplay,Comedy,Live Action,False,40000000,11,2008,1801977,2044,-1,0.49
The Gunman,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,40000000,3,2015,1769486,2816,-1,0.39
Universal Soldier II: The Return,Original Screenplay,Action,Live Action,True,40000000,8,1999,1550000,1639,-1,-1
Pandorum,Original Screenplay,Horror,Live Action,False,40000000,9,2009,1565270,2506,0.28,0.28
Duplex,Original Screenplay,Comedy,Live Action,False,40000000,9,2003,1472000,2189,0.35,0.5
Paranoia,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,8,2013,1308413,2459,-1,0.32
Raise the Titanic,-1,-1,-1,False,40000000,-1,-1,-1,-1,0.43,-1
The Hurricane Heist,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,3,2018,947321,2402,0.44,0.35
Impostor,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,40000000,1,2002,1065000,1870,0.22,0.33
Victor Frankenstein,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,40000000,11,2015,617378,2737,-1,0.36
Extreme Ops,Original Screenplay,Action,Live Action,False,40000000,11,2002,378176,1800,0.07,0.17
Just Visiting,Remake,Comedy,Live Action,False,40000000,4,2001,580000,1590,0.33,0.38
Snowpiercer,Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,False,40000000,6,2014,501519,8,0.95,0.84
Sunshine,Original Screenplay,Thriller/Suspense,Live Action,False,40000000,7,2007,77366,10,0.76,0.64
The Hudsucker Proxy,Original Screenplay,Comedy,Live Action,False,40000000,-1,-1,-1,-1,0.56,0.53
Billy Lynnâs Long Halftime Walk,Based on Fiction Book/Short Story,Drama,Live Action,True,40000000,11,2016,56404,2,0.43,0.53
Delgo,Original Screenplay,Adventure,Digital Animation,False,40000000,12,2008,130000,2160,0.12,0.27
The Hunting Party,Based on Factual Book/Article,Adventure,Live Action,False,40000000,9,2007,57822,4,0.0,0.54
Alex Rider: Operation Stormbreaker,Based on Fiction Book/Short Story,Action,Live Action,False,40000000,10,2006,444876,221,0.34,0.42
Red Cliff,Based on Real Life Events,Action,Live Action,True,40000000,1,2010,24111,30,0.91,0.73
The Last Shot,Based on Real Life Events,Comedy,Live Action,False,40000000,9,2004,215604,35,0.62,0.47
Nomad,Original Screenplay,Drama,Live Action,False,40000000,3,2007,4000,30,0.06,0.49
Un monstre Ã  Paris,Original Screenplay,Adventure,Digital Animation,False,40000000,-1,-1,-1,-1,-1,-1
USS Indianapolis: Men of Courage,Based on Real Life Events,Drama,Live Action,False,40000000,-1,-1,-1,-1,0.17,0.3
Dragon Nest Warriors' Dawn,Original Screenplay,Adventure,Digital Animation,False,40000000,-1,-1,-1,-1,-1,-1
The Crow,Remake,Action,Live Action,False,40000000,-1,-1,-1,-1,-1,0.71
The Time Traveler's Wife,Based on Fiction Book/Short Story,Drama,Live Action,False,39000000,8,2009,7720103,2988,-1,0.47
Superman III,Based on Comic/Graphic Novel,Adventure,Live Action,True,39000000,6,1983,20524333,1759,0.24,0.44
Because I Said So,Original Screenplay,Comedy,Live Action,False,39000000,2,2007,4686025,2526,0.04,0.26
Frankenweenie,Based on Short Film,Adventure,Stop-Motion Animation,False,39000000,10,2012,3324779,3005,-1,0.74
Sgt. Bilko,Based on TV,Comedy,Live Action,False,39000000,3,1996,10643090,2304,0.32,0.47
Serenity,Based on TV,Action,Animation/Live Action,False,39000000,9,2005,3949340,2188,0.83,0.74
Shoot 'Em Up,Original Screenplay,Action,Live Action,False,39000000,9,2007,1969000,2108,0.67,0.49
Against the Ropes,Based on Real Life Events,Drama,Live Action,False,39000000,2,2004,1400000,1601,0.12,0.36
Yi dai zong shi,Based on Real Life Events,Action,Live Action,False,38600000,8,2013,38856,7,-1,-1
The Fast and the Furious,Based on Factual Book/Article,Action,Live Action,True,38000000,6,2001,14720000,2830,0.53,0.58
Sweet Home Alabama,Original Screenplay,Comedy,Live Action,False,38000000,9,2002,13117937,3293,0.38,0.45
The Ugly Truth,Original Screenplay,Romantic Comedy,Live Action,False,38000000,7,2009,10836342,2882,-1,0.28
Spy Kids 2: The Island of Lost Dreams,Original Screenplay,Adventure,Live Action,True,38000000,8,2002,4605000,3307,-1,-1
Star Trek: Generations,Based on TV,Adventure,Live Action,True,38000000,11,1994,35825993,2659,0.48,0.55
Captain Underpants: The First Epic Movie,Original Screenplay,Adventure,Digital Animation,True,38000000,6,2017,7987559,3434,0.88,0.69
Paul Blart: Mall Cop 2,Original Screenplay,Adventure,Live Action,True,38000000,4,2015,7293721,3633,0.05,0.13
Mouse Hunt,Original Screenplay,Adventure,Live Action,False,38000000,12,1997,1385000,2152,0.42,-1
Why Him?,Original Screenplay,Comedy,Live Action,False,38000000,12,2016,3900804,2970,0.39,0.39
Water for Elephants,Based on Fiction Book/Short Story,Drama,Live Action,False,38000000,4,2011,6924487,2817,0.6,0.52
Life as We Know It,Original Screenplay,Romantic Comedy,Live Action,False,38000000,10,2010,5227215,3150,-1,0.39
The Hurricane,Based on Real Life Events,Drama,Live Action,False,38000000,12,1999,76493,58,-1,0.74
Riddick,Original Screenplay,Action,Live Action,True,38000000,9,2013,7316985,3107,0.57,0.49
Heartbreakers,Original Screenplay,Comedy,Live Action,False,38000000,3,2001,4010000,2750,1.0,0.47
Enough,Original Screenplay,Thriller/Suspense,Live Action,False,38000000,5,2002,4512000,2623,-1,0.25
The 5th Wave,Based on Fiction Book/Short Story,Action,Live Action,True,38000000,1,2016,3489019,2908,-1,0.33
Push,Original Screenplay,Thriller/Suspense,Live Action,False,38000000,2,2009,3531508,2313,-1,0.36
Rush,Based on Real Life Events,Drama,Live Action,False,38000000,9,2013,65571,5,-1,0.75
Angel Eyes,Original Screenplay,Drama,Live Action,False,38000000,5,2001,3164500,2375,-1,0.39
