Movie Name,Production budget,Release day revenue,Tomatometer,Metacritic
Cloud Atlas,102000000,3402211,0.67,-1
Harry Potter and the Chamber of Secrets,100000000,29631453,0.82,-1
Terminator 2: Judgment Day,100000000,2400000,0.93,-1
Batman Forever,100000000,20046461,0.39,-1
Planet of the Apes,100000000,25061500,-1,-1
National Treasure,100000000,11000000,0.45,-1
Django Unchained,100000000,15011121,0.86,-1
Little Fockers,100000000,7142775,0.09,-1
True Lies,100000000,40834885,0.71,-1
American Gangster,100000000,15865355,0.8,-1
Cloudy with a Chance of Meatballs,100000000,8137358,-1,-1
The Other Guys,100000000,13124233,-1,-1
Lemony Snicket's A Series of Unfortunate Events,100000000,10500000,-1,-1
The Wolf of Wall Street,100000000,9150379,-1,-1
Epic,100000000,9348014,-1,-1
Eraser,100000000,36423776,0.35,-1
The Hunchback of Notre Dame,100000000,32795950,-1,-1
The Emperor's New Groove,100000000,2291000,-1,-1
The Expendables 2,100000000,10494145,0.67,-1
Where the Wild Things Are,100000000,12077282,0.72,-1
Eragon,100000000,8742232,0.16,-1
Hercules,100000000,11058454,0.83,-1
The Tourist,100000000,6033091,-1,-1
End of Days,100000000,5177000,0.11,-1
The Stepford Wives,100000000,8100000,-1,-1
Surf's Up,100000000,5804772,0.79,-1
Blood Diamond,100000000,2647260,0.63,-1
Legend of the Guardians: The Owls of Ga'Hoole,100000000,4519426,-1,-1
Starship Troopers,100000000,8185000,0.62,-1
Land of the Lost,100000000,7130025,-1,-1
Peter Pan,100000000,3671000,-1,-1
Catwoman,100000000,6300000,0.09,-1
The Expendables 3,100000000,5950169,0.32,-1
Treasure Planet,100000000,2361000,0.69,-1
Wonder Park,100000000,5330263,0.31,-1
Green Zone,100000000,5045040,-1,-1
Geostorm,100000000,4304551,0.14,-1
Point Break,100000000,4143201,0.68,-1
In the Heart of the Sea,100000000,3849684,0.43,-1
Transcendence,100000000,4813369,-1,-1
Son of the Mask,100000000,2000000,0.06,-1
Mortal Engines,100000000,2818295,0.27,-1
The Adventures of Pluto Nash,100000000,727870,0.04,-1
Jin lÃ­ng shÃ­ san chai,100000000,80986,-1,-1
The Peanuts Movie,99000000,12075444,0.87,-1
The LEGO Movie 2: The Second Part,99000000,8461120,0.86,-1
