Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic,Release day revenue / production budget,Rotten Tomatoes Audience
Harry Potter and the Order of the Phoenix,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,150000000,7,2007,44232338,4181,0.77,0.71,0.29488225333333334,0.81
Harry Potter and the Goblet of Fire,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,150000000,11,2005,40118363,3858,0.88,0.81,0.2674557533333333,0.74
The Matrix Reloaded,Original Screenplay,Action,Animation/Live Action,True,150000000,5,2003,42508303,3603,0.73,0.62,0.28338868666666667,0.72
I am Legend,Based on Fiction Book/Short Story,Horror,Live Action,False,150000000,12,2007,30059386,3606,0.69,0.65,0.20039590666666668,0.68
Moana,Original Screenplay,Musical,Digital Animation,True,150000000,11,2016,15519234,3875,0.83,0.81,0.10346156,0.64
Hancock,Original Screenplay,Action,Live Action,True,150000000,7,2008,6835034,3680,0.41,0.49,0.04556689333333333,0.59
Charlie and the Chocolate Factory,Remake,Adventure,Live Action,False,150000000,7,2005,20714395,3770,0.82,0.72,0.13809596666666665,0.51
Ratatouille,Original Screenplay,Adventure,Digital Animation,False,150000000,6,2007,16452942,3940,0.96,0.96,0.10968628,0.87
Thor: The Dark World,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,11,2013,31899210,3841,0.66,0.54,0.2126614,0.76
Batman Begins,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,6,2005,15068368,3718,0.84,0.7,0.10045578666666667,0.94
Mission: ImpossibleâRogue Nation,Based on TV,Action,Live Action,True,150000000,7,2015,20301126,3956,-1.0,-1.0,0.13534084,-1.0
Dunkirk,Original Screenplay,Action,Live Action,True,150000000,7,2017,19736259,3720,-1.0,0.94,0.13157506,-1.0
Thor,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,5,2011,25481796,3955,0.77,0.57,0.16987864,0.76
Madagascar: Escape 2 Africa,Original Screenplay,Adventure,Digital Animation,True,150000000,11,2008,17555027,4056,0.63,0.61,0.11703351333333334,0.66
X-Men Origins: Wolverine,Spin-Off,Action,Live Action,True,150000000,5,2009,34433831,4099,-1.0,0.4,0.22955887333333333,-1.0
Night at the Museum: Battle of the Smithsonian,Based on Fiction Book/Short Story,Adventure,Live Action,True,150000000,5,2009,15568708,4096,-1.0,0.42,0.10379138666666667,-1.0
Kung Fu Panda 2,Original Screenplay,Adventure,Digital Animation,True,150000000,5,2011,5804129,3925,-1.0,0.67,0.038694193333333335,-1.0
Mad Max: Fury Road,Original Screenplay,Action,Live Action,True,150000000,5,2015,16611428,3702,0.97,0.9,0.11074285333333334,0.85
The Matrix Revolutions,Original Screenplay,Action,Live Action,True,150000000,11,2003,24311365,3502,0.36,0.47,0.16207576666666668,0.6
Ready Player One,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,150000000,3,2018,11946275,4234,0.72,0.64,0.07964183333333333,0.77
Chicken Little,Original Screenplay,Adventure,Digital Animation,False,150000000,11,2005,10571609,3654,0.37,0.48,0.07047739333333333,0.47
Mission: Impossible III,Based on TV,Action,Live Action,True,150000000,5,2006,16632157,4054,-1.0,0.66,0.11088104666666666,-1.0
Angels & Demons,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,150000000,5,2009,16471357,3527,-1.0,-1.0,0.10980904666666666,-1.0
Troy,Based on Fiction Book/Short Story,Action,Live Action,False,150000000,5,2004,16900000,3411,0.54,0.56,0.11266666666666666,0.73
The Last Airbender,Based on TV,Adventure,Live Action,False,150000000,7,2010,17511097,3169,-1.0,0.2,0.11674064666666667,-1.0
Bee Movie,Original Screenplay,Adventure,Digital Animation,False,150000000,11,2007,10202024,3928,0.5,0.54,0.06801349333333333,0.53
G-Force,Original Screenplay,Adventure,Animation/Live Action,False,150000000,7,2009,11533504,3697,-1.0,0.41,0.07689002666666667,-1.0
Bolt,Original Screenplay,Adventure,Digital Animation,False,150000000,11,2008,7036716,3651,0.89,0.67,0.04691144,0.73
Wrath of the Titans,Based on Folk Tale/Legend/Fairytale,Adventure,Animation/Live Action,True,150000000,3,2012,12316264,3545,-1.0,0.37,0.08210842666666666,-1.0
Beowulf,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,150000000,11,2007,10005134,3153,0.71,0.59,0.06670089333333333,0.5
Dark Shadows,Based on TV,Black Comedy,Live Action,False,150000000,5,2012,9673463,3755,0.36,0.55,0.06448975333333333,0.46
White House Down,Original Screenplay,Thriller/Suspense,Live Action,False,150000000,6,2013,9025649,3222,0.51,0.52,0.06017099333333333,0.62
The Wolfman,Remake,Horror,Live Action,False,150000000,2,2010,9649890,3222,-1.0,0.43,0.0643326,-1.0
The Great Wall,Original Screenplay,Action,Live Action,True,150000000,2,2017,5884250,3325,-1.0,0.42,0.03922833333333333,-1.0
Pan,Based on Fiction Book/Short Story,Adventure,Live Action,True,150000000,10,2015,5183169,3515,-1.0,0.36,0.03455446,-1.0
Mars Needs Moms,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,150000000,3,2011,1722337,3117,0.37,0.49,0.011482246666666666,0.4
Flushed Away,Original Screenplay,Adventure,Digital Animation,False,149000000,11,2006,4710515,3707,0.73,0.74,0.031614194630872484,0.65
Madagascar 3: Europe's Most Wanted,Original Screenplay,Adventure,Digital Animation,True,145000000,6,2012,20650819,4258,0.79,0.6,0.14241944137931034,0.72
Mission: ImpossibleâGhost Protocol,Based on TV,Action,Live Action,True,145000000,12,2011,4102843,425,-1.0,-1.0,0.02829546896551724,-1.0
How to Train Your Dragon 2,Original Screenplay,Adventure,Digital Animation,True,145000000,6,2014,18440040,4253,0.92,0.76,0.12717268965517242,0.89
Tarzan,Based on Fiction Book/Short Story,Adventure,Hand Animation,False,145000000,6,1999,75122,2,0.88,0.79,0.0005180827586206897,0.75
Mr. Peabody & Sherman,Based on TV,Adventure,Digital Animation,True,145000000,3,2014,8018923,3934,-1.0,-1.0,0.05530291724137931,-1.0
Rise of the Guardians,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,145000000,11,2012,4837243,3653,0.74,0.57,0.033360296551724136,0.8
Sahara,Based on Fiction Book/Short Story,Adventure,Live Action,False,145000000,4,2005,6150277,3154,-1.0,0.41,0.04241570344827586,-1.0
Ghostbusters,Remake,Comedy,Live Action,True,144000000,7,2016,17129166,3963,0.97,0.71,0.11895254166666666,0.88
Die Another Day,Based on Fiction Book/Short Story,Action,Live Action,True,142000000,11,2002,16619731,3314,0.57,0.56,0.11704035915492958,0.41
Pirates of the Caribbean: The Curse of the Black Pearl,Based on Theme Park Ride,Adventure,Live Action,True,140000000,7,2003,13509262,3023,0.79,0.63,0.09649472857142857,0.86
Star Trek,Based on TV,Adventure,Live Action,True,140000000,5,2009,30893975,3849,0.94,0.82,0.22067125,0.91
Armageddon,Original Screenplay,Adventure,Live Action,False,140000000,7,1998,9668216,3090,0.38,0.42,0.06905868571428571,0.73
Men in Black 2,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,140000000,7,2002,18599621,3557,-1.0,-1.0,0.1328544357142857,-1.0
Captain America: The First Avenger,Based on Comic/Graphic Novel,Action,Live Action,True,140000000,7,2011,25700189,3715,0.8,0.66,0.18357277857142856,0.74
Kung Fu Panda 3,Original Screenplay,Adventure,Digital Animation,True,140000000,1,2016,10452621,3955,0.87,0.66,0.07466157857142858,0.78
Lethal Weapon 4,Original Screenplay,Action,Live Action,True,140000000,7,1998,11305000,3117,0.52,0.37,0.08075,0.64
G.I. Joe: Retaliation,Based on Toy,Action,Animation/Live Action,True,140000000,3,2013,10506875,3719,0.29,0.41,0.07504910714285715,0.48
The Last Samurai,Original Screenplay,Action,Live Action,False,140000000,12,2003,8200000,2908,-1.0,0.55,0.05857142857142857,-1.0
Fun With Dick And Jane,Remake,Comedy,Live Action,False,140000000,12,2005,3761129,3056,0.28,0.47,0.02686520714285714,0.49
Exodus: Gods and Kings,Based on Religious Text,Drama,Live Action,True,140000000,12,2014,8867545,3503,0.3,0.52,0.06333960714285715,0.35
The BFG,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,140000000,7,2016,7084842,3357,-1.0,0.66,0.05060601428571428,-1.0
Gods of Egypt,Original Screenplay,Adventure,Live Action,False,140000000,2,2016,4778391,3117,0.15,0.25,0.03413136428571428,0.37
Spider-Man,Based on Comic/Graphic Novel,Adventure,Live Action,True,139000000,5,2002,39406872,3615,0.9,0.73,0.2835026762589928,0.67
Watchmen,Based on Comic/Graphic Novel,Action,Live Action,False,138000000,3,2009,24515772,3611,0.64,0.56,0.17765052173913043,0.71
Stealth,Original Screenplay,Action,Live Action,False,138000000,7,2005,4769491,3495,-1.0,0.35,0.034561528985507246,-1.0
The Incredible Hulk,Based on Comic/Graphic Novel,Adventure,Live Action,True,137500000,6,2008,21468125,3505,0.67,0.61,0.15613181818181818,0.7
Hulk,Based on Comic/Graphic Novel,Action,Live Action,True,137000000,6,2003,24879000,3660,0.62,0.54,0.1815985401459854,0.29
Final Fantasy: The Spirits Within,Based on Game,Adventure,Digital Animation,False,137000000,7,2001,5007886,2382,0.45,0.49,0.036553912408759125,0.48
"The Twilight Saga: Breaking Dawn, Part 2",Based on Fiction Book/Short Story,Drama,Live Action,True,136200000,11,2012,71167839,4070,0.49,-1.0,0.5225245154185022,0.7
The Croods,Original Screenplay,Adventure,Digital Animation,True,135000000,3,2013,11645354,4046,0.71,0.55,0.08626188148148148,0.77
The Revenant,Based on Fiction Book/Short Story,Adventure,Live Action,True,135000000,12,2015,171758,4,-1.0,0.57,0.0012722814814814815,-1.0
The World is Not Enough,Based on Fiction Book/Short Story,Action,Live Action,True,135000000,11,1999,12130000,3165,-1.0,0.57,0.08985185185185185,-1.0
Rango,Original Screenplay,Adventure,Digital Animation,False,135000000,3,2011,9608091,3917,0.88,0.75,0.07117104444444444,0.69
Master and Commander: The Far Side of the World,Based on Fiction Book/Short Story,Adventure,Live Action,False,135000000,11,2003,8156000,3101,0.85,0.81,0.06041481481481482,0.8
Turbo,Original Screenplay,Adventure,Digital Animation,False,135000000,7,2013,5552403,3551,-1.0,0.58,0.04112891111111111,-1.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,135000000,6,2016,12484117,4071,0.37,-1.0,0.09247494074074074,0.47
Happy Feet Two,Original Screenplay,Adventure,Digital Animation,True,135000000,11,2011,5850626,3606,0.45,0.5,0.04333797037037037,0.61
Miami Vice,Based on TV,Action,Live Action,False,135000000,7,2006,9017685,3021,0.45,0.65,0.06679766666666667,0.43
The Nutcracker and the Four Realms,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,False,132900000,11,2018,5890162,3766,0.33,0.39,0.04432025583145222,0.34
War of the Worlds,Remake,Action,Animation/Live Action,False,132000000,6,2005,21256483,3908,0.75,0.73,0.16103396212121213,0.42
Penguins of Madagascar,Spin-Off,Adventure,Digital Animation,True,132000000,11,2014,6138518,3654,0.73,0.53,0.04650392424242424,0.63
The Hunger Games: Catching Fire,Based on Fiction Book/Short Story,Adventure,Live Action,True,130000000,11,2013,70950136,4163,0.89,0.76,0.5457702769230769,0.89
Harry Potter and the Prisoner of Azkaban,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,130000000,6,2004,38268295,3855,0.9,0.82,0.2943715,0.86
The Bourne Ultimatum,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,130000000,8,2007,24668225,3660,-1.0,0.85,0.18975557692307693,-1.0
Ant-Man and the Wasp,Based on Comic/Graphic Novel,Action,Live Action,True,130000000,7,2018,33725082,4206,-1.0,0.7,0.2594237076923077,-1.0
Kung Fu Panda,Original Screenplay,Adventure,Digital Animation,True,130000000,6,2008,20303918,4114,0.87,0.73,0.1561839846153846,0.82
Ant-Man,Based on Comic/Graphic Novel,Action,Live Action,True,130000000,7,2015,22649199,3856,0.82,0.64,0.1742246076923077,0.86
Home,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,130000000,3,2015,15716740,3708,-1.0,0.67,0.120898,-1.0
Mary Poppins Returns,Based on Fiction Book/Short Story,Musical,Live Action,True,130000000,12,2018,4763547,4090,0.79,0.66,0.03664266923076923,0.68
Puss in Boots,Spin-Off,Adventure,Digital Animation,True,130000000,10,2011,9569130,3952,-1.0,0.65,0.0736086923076923,-1.0
Megamind,Original Screenplay,Adventure,Digital Animation,False,130000000,11,2010,12530397,3944,0.72,0.63,0.09638766923076923,0.72
Bad Boys II,Original Screenplay,Action,Live Action,True,130000000,7,2003,16883057,3186,0.22,0.38,0.12986966923076923,0.78
Rio 2,Original Screenplay,Adventure,Digital Animation,True,130000000,4,2014,12007367,3948,0.47,0.49,0.09236436153846155,0.58
Salt,Original Screenplay,Thriller/Suspense,Live Action,True,130000000,7,2010,12532333,3612,-1.0,0.65,0.09640256153846154,-1.0
Noah,Based on Religious Text,Drama,Live Action,True,130000000,3,2014,15183234,3567,0.76,0.68,0.11679410769230769,0.41
