Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic,Release day revenue / production budget,Rotten Tomatoes Audience
Open Range,Based on Fiction Book/Short Story,Western,Live Action,False,26000000,8,2003,4240671,2075,0.79,0.67,0.16310273076923076,0.83
Red Eye,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,8,2005,6100000,3079,-1.0,0.71,0.23461538461538461,-1.0
New Yearâs Eve,Original Screenplay,Romantic Comedy,Live Action,True,26000000,12,2011,5027448,3505,-1.0,0.22,0.1933633846153846,-1.0
A Bridge Too Far,Based on Fiction Book/Short Story,Action,Live Action,False,26000000,-1,-1,-1,-1,-1.0,-1.0,-3.846153846153846e-08,-1.0
Pain & Gain,Based on Real Life Events,Action,Live Action,False,26000000,4,2013,7491446,3277,-1.0,-1.0,0.28813253846153847,-1.0
Final Destination 2,Original Screenplay,Horror,Live Action,True,26000000,1,2003,5700000,2834,0.48,0.38,0.21923076923076923,0.58
"O Brother, Where Art Thou?",Based on Folk Tale/Legend/Fairytale,Comedy,Live Action,False,26000000,1,2001,442850,96,0.77,0.69,0.017032692307692308,0.89
In Good Company,Original Screenplay,Comedy,Live Action,False,26000000,1,2005,4400000,1565,0.83,0.66,0.16923076923076924,0.54
Legion,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,1,2010,6686233,2476,-1.0,0.32,0.2571628076923077,-1.0
Lawless,Based on Fiction Book/Short Story,Drama,Live Action,False,26000000,8,2012,1136084,2565,-1.0,0.58,0.04369553846153846,-1.0
Clockstoppers,Original Screenplay,Adventure,Live Action,False,26000000,3,2002,4208000,2540,0.29,0.4,0.16184615384615383,0.3
Silverado,Original Screenplay,Western,Live Action,False,26000000,7,1985,5303341,1168,0.77,0.64,0.20397465384615385,0.8
Brothers,Remake,Drama,Live Action,False,26000000,12,2009,3574150,2088,-1.0,0.58,0.1374673076923077,-1.0
The Best of Me,Based on Fiction Book/Short Story,Drama,Live Action,False,26000000,10,2014,4131906,2936,0.09,0.29,0.15891946153846154,0.59
Agent Cody Banks 2: Destination London,Original Screenplay,Adventure,Live Action,True,26000000,3,2004,2000000,2973,0.14,0.32,0.07692307692307693,0.3
Original Sin,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,26000000,8,2001,2153000,2194,0.12,0.33,0.0828076923076923,0.61
The Raven,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,4,2012,2526313,2203,-1.0,0.44,0.09716588461538461,-1.0
Welcome to Mooseport,Original Screenplay,Comedy,Live Action,False,26000000,2,2004,2200000,2867,0.13,0.33,0.08461538461538462,0.19
Highlander: The Final Dimension,Original Screenplay,Action,Live Action,True,26000000,1,1995,7065822,1593,-1.0,0.28,0.2717623846153846,-1.0
Self/Less,Original Screenplay,Thriller/Suspense,Live Action,True,26000000,7,2015,1963105,2353,-1.0,0.34,0.07550403846153846,-1.0
The Curse of the Jade Scorpion,Original Screenplay,Comedy,Live Action,False,26000000,8,2001,777500,903,-1.0,0.52,0.029903846153846152,-1.0
The Fifth Estate,Based on Real Life Events,Drama,Live Action,False,26000000,10,2013,589301,1769,0.36,0.49,0.022665423076923076,0.36
Blood and Wine,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,2,1997,541812,166,0.61,-1.0,0.020838923076923078,0.35
Blood Ties,Original Screenplay,Drama,Live Action,False,26000000,3,2014,8580,28,-1.0,0.45,0.00033,-1.0
The Grimm Brothers' Snow White,Based on Folk Tale/Legend/Fairytale,Horror,Live Action,False,26000000,-1,-1,-1,-1,-1.0,-1.0,-3.846153846153846e-08,-1.0
Viy,Original Screenplay,Adventure,Live Action,False,26000000,-1,-1,-1,-1,-1.0,-1.0,-3.846153846153846e-08,-1.0
Accidental Love,Original Screenplay,Comedy,Live Action,False,26000000,-1,-1,-1,-1,0.09,0.2,-3.846153846153846e-08,0.14
The Face of an Angel,Based on Fiction Book/Short Story,Drama,Live Action,False,26000000,-1,-1,-1,-1,0.37,0.37,-3.846153846153846e-08,0.1
Flipper,Based on TV,Adventure,Live Action,False,25530000,5,1996,5202170,2385,-1.0,0.43,0.20376694085389738,-1.0
The Constant Gardener,Based on Fiction Book/Short Story,Drama,Live Action,False,25500000,8,2005,929829,1324,-1.0,0.82,0.03646388235294118,-1.0
W.,Based on Real Life Events,Drama,Live Action,False,25100000,10,2008,3792999,2030,-1.0,0.56,0.15111549800796814,-1.0
The Passion of the Christ,Based on Religious Text,Drama,Live Action,False,25000000,2,2004,26556573,3006,-1.0,0.47,1.06226292,-1.0
Mrs. Doubtfire,Based on Fiction Book/Short Story,Comedy,Live Action,False,25000000,11,1993,24878005,1605,0.71,0.53,0.9951202,0.77
Rain Man,Original Screenplay,Comedy,Live Action,False,25000000,12,1988,11439832,1248,0.89,0.65,0.45759328,0.9
The Help,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,8,2011,5539917,2511,0.76,0.62,0.22159668,0.89
Hidden Figures,Based on Factual Book/Article,Drama,Live Action,False,25000000,12,2016,515499,25,0.93,0.74,0.02061996,0.93
Gran Torino,Original Screenplay,Drama,Live Action,False,25000000,12,2008,74663,6,0.8,0.72,0.00298652,0.9
Taken,Original Screenplay,Thriller/Suspense,Live Action,True,25000000,1,2009,9417370,3183,0.58,0.51,0.3766948,0.85
Ride Along,Original Screenplay,Comedy,Live Action,True,25000000,1,2014,14406830,2663,0.18,0.41,0.5762732,0.58
The Bodyguard,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,11,1992,21532443,1717,-1.0,0.39,0.86129772,-1.0
Schindlerâs List,Based on Real Life Events,Drama,Live Action,False,25000000,12,1993,150690,24,0.97,0.93,0.0060276,0.97
"Legally Blonde 2: Red, White & Blonde",Original Screenplay,Comedy,Live Action,True,25000000,7,2003,9147000,3350,-1.0,-1.0,0.36588,-1.0
Scooby-Doo 2: Monsters Unleashed,Based on TV,Adventure,Live Action,True,25000000,3,2004,8500000,3312,-1.0,0.34,0.34,-1.0
Anchorman: The Legend of Ron Burgundy,Original Screenplay,Comedy,Live Action,True,25000000,7,2004,10758102,3091,0.66,0.63,0.43032408,0.86
Freddy vs. Jason,Spin-Off,Horror,Live Action,True,25000000,8,2003,13600000,3014,0.41,0.37,0.544,0.5
Bridge to Terabithia,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,2,2007,6290733,3139,0.85,0.74,0.25162932,0.7
Jimmy Neutron: Boy Genius,Based on TV,Adventure,Digital Animation,False,25000000,12,2001,3736000,3139,0.75,0.65,0.14944,0.52
Cloverfield,Original Screenplay,Action,Live Action,True,25000000,1,2008,17164536,3411,0.77,0.64,0.68658144,0.68
Dear John,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,2,2010,13764704,2969,0.29,0.43,0.55058816,0.55
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Based on Comic/Graphic Novel,Adventure,Live Action,True,25000000,3,1991,26728908,2868,-1.0,0.45,1.06915632,-1.0
Parental Guidance,Original Screenplay,Adventure,Live Action,False,25000000,12,2012,6317559,3359,-1.0,0.36,0.25270236,-1.0
The Untouchables,Based on TV,Action,Live Action,True,25000000,6,1987,14907555,1012,-1.0,0.79,0.5963022,-1.0
No Country for Old Men,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,11,2007,349000,28,0.93,0.91,0.01396,0.86
Bridget Jones's Diary,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,True,25000000,4,2001,4042500,1611,-1.0,0.66,0.1617,-1.0
Chocolat,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,2000,326517,255,0.62,0.64,0.01306068,0.83
No Strings Attached,Original Screenplay,Romantic Comedy,Live Action,False,25000000,1,2011,7289609,3018,-1.0,0.5,0.29158436,-1.0
Contraband,Remake,Action,Live Action,False,25000000,1,2012,8631945,2863,-1.0,0.51,0.3452778,-1.0
A Dogâs Purpose,Based on Fiction Book/Short Story,Drama,Live Action,True,25000000,1,2017,5281695,3059,0.34,0.43,0.2112678,0.73
The Lucky One,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,4,2012,9105607,3155,0.21,0.39,0.36422428,0.67
Tombstone,Based on Real Life Events,Western,Live Action,False,25000000,12,1993,11922766,1955,0.73,0.5,0.47691064,0.94
Romeo Must Die,Original Screenplay,Action,Live Action,False,25000000,3,2000,4105324,2602,0.33,0.52,0.16421296,0.61
The Omen,Remake,Horror,Live Action,False,25000000,6,2006,12633666,2660,-1.0,0.43,0.50534664,-1.0
Final Destination 3,Original Screenplay,Horror,Live Action,True,25000000,2,2006,7200000,2880,0.43,0.41,0.288,0.57
Madea's Big Happy Family,Based on Play,Drama,Live Action,True,25000000,4,2011,10457457,2288,0.37,0.45,0.41829828,0.74
Tyler Perry's A Madea Christmas,Based on Play,Comedy,Live Action,True,25000000,12,2013,5748584,2194,-1.0,0.28,0.22994336,-1.0
Finding Neverland,Based on Play,Drama,Live Action,True,25000000,11,2004,700000,513,0.82,0.67,0.028,0.87
The Grey,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,1,2012,6481717,3185,-1.0,0.64,0.25926868,-1.0
Hide and Seek,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,1,2005,7800000,3005,-1.0,0.35,0.312,-1.0
Cobra,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,5,1986,18933359,2131,0.14,0.25,0.75733436,0.42
The House Bunny,Original Screenplay,Comedy,Live Action,False,25000000,8,2008,5918274,2714,-1.0,0.55,0.23673096,-1.0
Agent Cody Banks,Original Screenplay,Adventure,Live Action,True,25000000,3,2003,4185681,3369,0.39,0.41,0.16742724,0.31
Nanny McPhee,Based on Fiction Book/Short Story,Adventure,Live Action,True,25000000,1,2006,3571050,1995,0.73,0.59,0.142842,0.63
Goodfellas,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,1990,11053410,1070,0.96,0.89,0.4421364,0.97
The Giver,Based on Fiction Book/Short Story,Drama,Live Action,True,25000000,8,2014,4750489,3003,0.35,0.47,0.19001956,0.55
Scarface,Remake,Drama,Live Action,False,25000000,12,1983,6758000,996,0.81,0.65,0.27032,0.93
Nothing To Lose,Original Screenplay,Comedy,Live Action,False,25000000,7,1997,3756545,1862,-1.0,-1.0,0.1502618,-1.0
The Last Emperor,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,1987,1764140,92,-1.0,0.76,0.0705656,-1.0
The Night Before,Original Screenplay,Comedy,Live Action,True,25000000,11,2015,3561439,2960,-1.0,0.58,0.14245756,-1.0
The Beverly Hillbillies,Based on TV,Comedy,Live Action,False,25000000,10,1993,11734639,2152,-1.0,0.37,0.46938556,-1.0
The Hours,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,1,2003,1334346,402,-1.0,0.8,0.05337384,-1.0
Money Talks,Original Screenplay,Action,Live Action,False,25000000,8,1997,3533090,2005,0.16,-1.0,0.1413236,0.71
There Will Be Blood,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,2007,67951,2,0.91,0.93,0.00271804,0.86
The Wild Thornberrys Movie,Based on TV,Adventure,Hand Animation,False,25000000,12,2002,1677000,3012,-1.0,0.69,0.06708,-1.0
Rugrats Go Wild,Based on TV,Adventure,Hand Animation,True,25000000,6,2003,4615000,3041,0.4,0.38,0.1846,0.38
The Sisterhood of the Traveling Pants,Based on Fiction Book/Short Story,Drama,Live Action,True,25000000,6,2005,2135432,2529,-1.0,0.66,0.08541728,-1.0
Undercover Brother,Original Screenplay,Comedy,Live Action,False,25000000,5,2002,3432000,2167,0.77,0.69,0.13728,0.64
August: Osage County,Based on Play,Black Comedy,Live Action,False,25000000,12,2013,57254,5,0.66,0.58,0.00229016,0.65
Kiss of the Dragon,Original Screenplay,Action,Live Action,False,25000000,7,2001,4795500,2024,0.51,0.58,0.19182,0.68
Million Dollar Arm,Original Screenplay,Drama,Live Action,False,25000000,5,2014,3468004,3019,0.64,0.56,0.13872016,0.68
Beauty Shop,Spin-Off,Comedy,Live Action,False,25000000,3,2005,2074000,2659,-1.0,0.53,0.08296,-1.0
What a Girl Wants,Remake,Comedy,Live Action,False,25000000,4,2003,3501180,2964,0.35,0.41,0.1400472,0.62
Jeepers Creepers II,Original Screenplay,Horror,Live Action,True,25000000,8,2003,5312000,3124,-1.0,0.36,0.21248,-1.0
Peppermint,Original Screenplay,Action,Live Action,True,25000000,9,2018,4653682,2980,-1.0,0.29,0.18614728,-1.0
Good Luck Chuck,Original Screenplay,Romantic Comedy,Live Action,False,25000000,9,2007,5137326,2612,0.05,0.19,0.20549304,0.57
Cradle 2 the Grave,Original Screenplay,Action,Live Action,False,25000000,2,2003,6126000,2625,0.25,0.36,0.24504,0.52
She's the Man,Based on Play,Romantic Comedy,Live Action,False,25000000,3,2006,3695630,2623,0.44,0.45,0.1478252,0.79
The Gambler,Remake,Drama,Live Action,False,25000000,12,2014,5003169,2478,-1.0,0.55,0.20012676,-1.0
Mr. Beanâs Holiday,Based on TV,Adventure,Live Action,True,25000000,8,2007,3265170,1713,0.52,-1.0,0.1306068,0.49
Motherâs Day,Original Screenplay,Romantic Comedy,Live Action,True,25000000,4,2016,2786013,3035,0.42,0.34,0.11144052,0.38
Bride of Chucky,Original Screenplay,Horror,Live Action,True,25000000,10,1998,3900000,2411,0.46,0.48,0.156,0.46
Fist Fight,Original Screenplay,Comedy,Live Action,False,25000000,2,2017,3806379,3185,-1.0,0.37,0.15225516,-1.0
August Rush,Based on Real Life Events,Drama,Live Action,False,25000000,11,2007,1863409,2280,0.36,0.38,0.07453636,0.82
Anacondas: The Hunt for the Blood Orchid,Original Screenplay,Horror,Live Action,True,25000000,8,2004,4200000,2905,0.25,0.4,0.168,0.27
The Sitter,Original Screenplay,Comedy,Live Action,False,25000000,12,2011,3706669,2750,-1.0,0.39,0.14826676,-1.0
Elizabeth,Based on Real Life Events,Drama,Live Action,True,25000000,11,1998,125821,144,-1.0,0.75,0.00503284,-1.0
"Tora, Tora, Tora",-1,-1,-1,False,25000000,-1,-1,-1,-1,0.55,-1.0,-4e-08,0.81
Spice World,Based on Musical Group,Comedy,Live Action,False,25000000,1,1998,3085000,2339,0.35,0.32,0.1234,0.44
Draft Day,Original Screenplay,Drama,Live Action,False,25000000,4,2014,3559192,2781,0.6,0.54,0.14236768,0.65
The Shawshank Redemption,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,1994,1038376,33,0.91,0.8,0.04153504,0.98
Rings,Original Screenplay,Horror,Live Action,True,25000000,2,2017,5631820,2931,-1.0,0.25,0.2252728,-1.0
Dance Flick,Original Screenplay,Comedy,Live Action,False,25000000,5,2009,3926444,2450,0.18,0.4,0.15705776,0.3
Crocodile Dundee in Los Angeles,Original Screenplay,Adventure,Live Action,True,25000000,4,2001,2376000,2123,0.11,0.37,0.09504,0.25
Kingpin,Original Screenplay,Comedy,Live Action,False,25000000,7,1996,9182785,1956,-1.0,0.43,0.3673114,-1.0
Ice Princess,Original Screenplay,Comedy,Live Action,False,25000000,3,2005,2200000,2501,0.51,0.55,0.088,0.57
Don't Be Afraid of the Dark,Remake,Horror,Live Action,False,25000000,8,2011,3582854,2760,0.67,0.56,0.14331416,0.57
The Losers,Based on Comic/Graphic Novel,Action,Live Action,False,25000000,4,2010,3236476,2936,-1.0,0.44,0.12945904,-1.0
Fighting,Original Screenplay,Action,Live Action,False,25000000,4,2009,4536995,2309,0.4,0.61,0.1814798,0.36
War,Original Screenplay,Action,Live Action,False,25000000,8,2007,3514132,2277,0.14,0.36,0.14056528,0.51
Don Juan DeMarco,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,4,1995,5890690,1110,0.69,0.63,0.2356276,0.68
A Lot Like Love,Original Screenplay,Comedy,Live Action,False,25000000,4,2005,3000000,2502,-1.0,0.48,0.12,-1.0
He Got Game,Original Screenplay,Drama,Live Action,False,25000000,5,1998,2605000,1319,0.8,0.63,0.1042,0.83
The Eagle,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,2,2011,2812574,2296,-1.0,0.55,0.11250296,-1.0
Shaun the Sheep,Spin-Off,Adventure,Stop-Motion Animation,True,25000000,8,2015,852127,2202,-1.0,0.81,0.03408508,-1.0
Shark Night 3D,Original Screenplay,Horror,Live Action,False,25000000,9,2011,2797477,2806,0.19,0.22,0.11189908,0.22
CHiPS,Based on TV,Action,Live Action,False,25000000,3,2017,2577980,2464,0.17,0.28,0.1031192,0.45
Punch-Drunk Love,Original Screenplay,Comedy,Live Action,False,25000000,10,2002,118539,5,0.8,0.78,0.00474156,0.77
Eurotrip,Original Screenplay,Comedy,Live Action,False,25000000,2,2004,2400000,2512,0.47,0.45,0.096,0.75
Father Figures,Original Screenplay,Comedy,Live Action,False,25000000,12,2017,1370735,2902,-1.0,0.22,0.0548294,-1.0
The Ruins,Based on Fiction Book/Short Story,Horror,Live Action,False,25000000,4,2008,2789241,2812,0.48,0.44,0.11156964,0.3
The Counselor,Original Screenplay,Thriller/Suspense,Live Action,True,25000000,10,2013,3130082,3044,0.34,0.48,0.12520328,0.23
Unaccompanied Minors,Original Screenplay,Adventure,Live Action,False,25000000,12,2006,1557219,2775,0.29,0.43,0.06228876,0.53
Mary Queen of Scots,Based on Real Life Events,Drama,Live Action,False,25000000,12,2018,67992,4,0.63,0.6,0.00271968,0.41
"Bright Lights, Big City",Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,4,1988,6913038,1196,-1.0,-1.0,0.27652152,-1.0
Half Past Dead,Original Screenplay,Action,Live Action,False,25000000,11,2002,2661236,2113,0.03,0.23,0.10644944,0.37
Legend,Original Screenplay,Adventure,Live Action,False,25000000,4,1986,5657264,1187,0.36,0.55,0.22629056,0.73
The Adventures of Pinocchio,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,25000000,7,1996,6375019,1779,-1.0,-1.0,0.25500076,-1.0
The Greatest Game Ever Played,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,2005,1083411,1014,-1.0,0.55,0.04333644,-1.0
The Box,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,25000000,11,2009,2847332,2635,-1.0,0.47,0.11389328,-1.0
The Next Best Thing,Original Screenplay,Drama,Live Action,False,25000000,3,2000,1973000,2005,-1.0,0.25,0.07892,-1.0
My Soul to Take,Original Screenplay,Horror,Live Action,False,25000000,10,2010,2649160,2572,0.1,0.25,0.1059664,0.26
The Girl Next Door,Original Screenplay,Romantic Comedy,Live Action,False,25000000,4,2004,2467000,2148,-1.0,0.29,0.09868,-1.0
Fly Me To the Moon,Original Screenplay,Adventure,Digital Animation,False,25000000,8,2008,703758,452,0.19,-1.0,0.02815032,0.24
Maximum Risk,Original Screenplay,Action,Live Action,False,25000000,9,1996,7365244,2358,0.3,-1.0,0.29460976,0.34
Stealing Harvard,Original Screenplay,Comedy,Live Action,False,25000000,9,2002,2120000,2366,0.09,0.25,0.0848,0.39
Hot Rod,Original Screenplay,Comedy,Live Action,False,25000000,8,2007,1984751,2607,0.39,0.43,0.07939004,0.64
Warrior,Original Screenplay,Drama,Live Action,False,25000000,9,2011,1770745,1869,-1.0,0.71,0.0708298,-1.0
Angela's Ashes,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,1,2000,17878,6,0.52,0.54,0.00071512,0.81
Battle of the Sexes,Based on Real Life Events,Drama,Live Action,True,25000000,9,2017,160306,21,0.86,0.73,0.00641224,0.72
Cirque du Soleil: Worlds Away,Original Screenplay,Drama,Live Action,True,25000000,12,2012,808188,840,0.45,0.51,0.03232752,0.58
The 33,Based on Factual Book/Article,Drama,Live Action,True,25000000,11,2015,1838134,2452,0.48,0.55,0.07352536,0.59
Lifeforce,Based on Fiction Book/Short Story,Horror,Live Action,False,25000000,6,1985,6199826,1526,0.61,0.5,0.24799304,0.44
The Conspirator,Based on Real Life Events,Drama,Live Action,False,25000000,4,2011,1099750,707,0.55,0.55,0.04399,0.61
The Powerpuff Girls,Based on TV,Adventure,Hand Animation,False,25000000,7,2002,1526626,2340,-1.0,0.65,0.06106504,-1.0
The Lords of Dogtown,Original Screenplay,Action,Live Action,False,25000000,6,2005,2565882,1865,-1.0,-1.0,0.10263528,-1.0
Big Trouble in Little China,Original Screenplay,Action,Live Action,False,25000000,-1,-1,-1,-1,0.78,0.53,-4e-08,0.82
Michael Collins,Based on Real Life Events,Drama,Live Action,False,25000000,10,1996,273300,6,0.77,0.6,0.010932,0.84
Stop-Loss,Based on Real Life Events,Drama,Live Action,False,25000000,3,2008,1674770,1291,-1.0,0.61,0.0669908,-1.0
Gettysburg,-1,-1,-1,True,25000000,-1,-1,-1,-1,-1.0,-1.0,-4e-08,-1.0
Abandon,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,10,2002,1939913,2341,0.16,0.36,0.07759652,0.31
Straw Dogs,Remake,Thriller/Suspense,Live Action,False,25000000,9,2011,1979631,2408,0.87,0.45,0.07918524,0.82
Brokedown Palace,Original Screenplay,Drama,Live Action,False,25000000,8,1999,1455000,1740,0.31,0.44,0.0582,0.66
Mrs. Winterbourne,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,25000000,4,1996,5031317,1612,0.07,0.35,0.20125268,0.63
Stone Cold,Original Screenplay,Action,Live Action,False,25000000,5,1991,3908983,1729,-1.0,-1.0,0.15635932,-1.0
Serenity,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,1,2019,1595951,2561,0.83,0.74,0.06383804,0.91
The Road,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,11,2009,558067,111,-1.0,0.64,0.02232268,-1.0
Beautiful Boy,Based on Factual Book/Article,Drama,Live Action,False,25000000,10,2018,106562,4,0.71,0.62,0.00426248,0.56
The Hoax,Based on Real Life Events,Drama,Live Action,False,25000000,5,2007,8707,42,-1.0,0.7,0.00034828,-1.0
Captive State,Original Screenplay,Thriller/Suspense,Live Action,True,25000000,3,2019,1266415,2548,0.45,0.54,0.0506566,0.41
Sheena,Based on Comic/Graphic Novel,Adventure,Live Action,False,25000000,8,1984,4159860,1496,0.33,-1.0,0.1663944,0.31
Underclassman,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,9,2005,700000,1132,0.06,0.19,0.028,0.34
Say It Isn't So,Original Screenplay,Comedy,Live Action,False,25000000,3,2001,946000,1972,0.09,0.21,0.03784,0.31
The World's Fastest Indian,Based on Real Life Events,Drama,Live Action,False,25000000,2,2006,83840,181,-1.0,0.68,0.0033536,-1.0
Deception,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,4,2008,764370,2001,-1.0,0.31,0.0305748,-1.0
Tank Girl,Based on Comic/Graphic Novel,Action,Live Action,False,25000000,3,1995,2684430,1341,0.38,-1.0,0.1073772,0.63
King's Ransom,Original Screenplay,Comedy,Live Action,False,25000000,4,2005,700000,1508,0.02,0.11,0.028,0.31
Blindness,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,25000000,10,2008,672840,1690,-1.0,0.45,0.0269136,-1.0
Sgt. Stubby: An American Hero,Based on Real Life Events,Adventure,Digital Animation,True,25000000,4,2018,275463,1633,0.87,0.57,0.01101852,0.94
Carnage,Based on Play,Drama,Live Action,False,25000000,12,2011,117655,5,0.71,0.71,0.0047062,0.66
Tulip Fever,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,2017,359382,765,0.1,0.38,0.01437528,0.43
BloodRayne,Based on Game,Action,Live Action,True,25000000,1,2006,1792400,985,0.04,0.18,0.071696,0.16
Legend,Based on Real Life Events,Thriller/Suspense,Live Action,True,25000000,11,2015,28696,4,0.36,0.55,0.00114784,0.73
Bad Lieutenant: Port of Call New Orleans,Remake,Drama,Live Action,False,25000000,1,2010,4723,43,0.86,-1.0,0.00018892,0.57
Jane Got a Gun,Original Screenplay,Western,Live Action,False,25000000,1,2016,276458,1210,0.42,0.49,0.01105832,0.37
Me and Orson Welles,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,11,2009,9512,4,0.85,0.73,0.00038048,0.61
Venom,Original Screenplay,Horror,Live Action,False,25000000,10,2005,126,5,-1.0,0.25,5.04e-06,-1.0
Where the Truth Lies,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,10,2005,216842,92,0.41,0.47,0.00867368,0.46
Without Limits,Based on Real Life Events,Drama,Live Action,False,25000000,9,1998,77648,5,0.79,-1.0,0.00310592,0.91
On the Road,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,2012,69885,4,0.44,0.56,0.0027954,0.34
Les petits mouchoirs,Original Screenplay,Comedy,Live Action,False,25000000,8,2012,6844,3,0.41,-1.0,0.00027376,0.64
Love Ranch,Based on Real Life Events,Drama,Live Action,False,25000000,7,2010,16133,11,0.13,0.37,0.00064532,0.27
Yi ge ren de wu lin,Original Screenplay,Action,Live Action,False,25000000,4,2015,82134,28,-1.0,-1.0,0.00328536,-1.0
Sammy's avonturen: De geheime doorgang,Original Screenplay,Adventure,Digital Animation,False,25000000,-1,-1,-1,-1,-1.0,-1.0,-4e-08,-1.0
Belka i Strelka. Zvezdnye sobaki,Original Screenplay,Adventure,Digital Animation,False,25000000,-1,-1,-1,-1,-1.0,-1.0,-4e-08,-1.0
Matilda,Based on Real Life Events,Drama,Live Action,False,25000000,-1,-1,-1,-1,-1.0,0.72,-4e-08,-1.0
La vÃ©ritable histoire du Chat BottÃ©,-1,-1,-1,False,25000000,-1,-1,-1,-1,-1.0,-1.0,-4e-08,-1.0
Ironclad,Original Screenplay,Action,Live Action,True,25000000,-1,-1,-1,-1,0.42,0.42,-4e-08,0.41
Red Sky,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,-1,-1,-1,-1,-1.0,-1.0,-4e-08,-1.0
Waterloo,-1,-1,-1,False,25000000,-1,-1,-1,-1,0.33,-1.0,-4e-08,0.81
The Adventurer: The Curse of the Midas Box,Original Screenplay,Adventure,Live Action,False,25000000,-1,-1,-1,-1,0.2,0.39,-4e-08,0.37
Reagan,Based on Factual Book/Article,Drama,Live Action,False,25000000,-1,-1,-1,-1,-1.0,-1.0,-4e-08,-1.0
Us,Original Screenplay,Thriller/Suspense,Live Action,True,24600000,3,2019,28923540,3741,-1.0,0.81,1.1757536585365853,-1.0
Dangerous Liaisons,Based on Fiction Book/Short Story,Drama,Live Action,False,24200000,11,2012,17000,6,-1.0,0.74,0.0007024793388429752,-1.0
Star Trek IV: The Voyage Home,Based on TV,Adventure,Live Action,True,24000000,11,1986,21583856,1349,0.85,0.71,0.8993273333333334,0.81
Scream 2,Original Screenplay,Horror,Live Action,True,24000000,12,1997,14380000,3112,0.81,0.63,0.5991666666666666,0.56
Old School,Original Screenplay,Comedy,Live Action,True,24000000,2,2003,6182500,2689,0.6,0.54,0.2576041666666667,0.86
Rocky Balboa,-1,-1,-1,True,24000000,12,2006,6204105,2752,0.77,0.63,0.258504375,0.76
Think Like a Man Too,Based on Factual Book/Article,Romantic Comedy,Live Action,True,24000000,6,2014,12180056,2225,0.22,0.38,0.5075023333333334,0.59
Fences,Based on Play,Drama,Live Action,True,24000000,12,2016,41254,4,-1.0,0.79,0.0017189166666666668,-1.0
The Whole Nine Yards,Original Screenplay,Comedy,Live Action,True,24000000,2,2000,3414000,2910,0.45,0.47,0.14225,0.64
Footloose,Remake,Musical,Live Action,False,24000000,10,2011,5432058,3549,0.51,0.58,0.22633575,0.71
Going in Style,Remake,Comedy,Live Action,True,24000000,4,2017,4254454,3061,0.82,0.5,0.17726891666666666,0.73
Point Break,Original Screenplay,Action,Live Action,False,24000000,7,1991,12816274,1615,0.68,0.34,0.5340114166666666,0.79
The Fisher King,Original Screenplay,Drama,Live Action,False,24000000,9,1991,9483768,1214,-1.0,0.61,0.395157,-1.0
