Movie Name,Production budget,Release day revenue,Tomatometer
Hostage,75000000,3300000,-1
Inferno,75000000,5575613,-1
Hollywood Homicide,75000000,3864000,0.29
Titan A.E.,75000000,2993410,0.51
Flight of the Phoenix,75000000,1500000,0.3
Soldier,75000000,2005000,-1
Virus,75000000,1565000,-1
Monkeybone,75000000,776000,0.19
Minions,74000000,46042205,0.56
The SpongeBob Movie: Sponge Out of Water,74000000,14905447,0.8
Unbreakable,73243106,6813351,0.69
Talladega Nights: The Ballad of Ricky Bobby,73000000,18016961,0.71
The Angry Birds Movie,73000000,10831978,0.44
Snake Eyes,73000000,5420000,0.4
Sphere,73000000,3910000,0.12
The Simpsons Movie,72500000,30758269,-1
Fool's Gold,72500000,7514370,-1
Funny People,72500000,8690230,0.68
The Kingdom,72500000,5963055,0.51
Dr. Dolittle 2,72000000,8513000,0.42
Braveheart,72000000,15571948,-1
Jarhead,72000000,10548125,-1
Driven,72000000,4529000,0.88
The Majestic,72000000,1523000,0.42
Two Brothers,72000000,2100000,0.78
The Village,71682975,20382664,-1
Doctor Dolittle,71500000,9685000,0.32
Signs,70702619,20884787,0.73
Shrek 2,70000000,11786415,0.89
Cars,70000000,19713746,0.74
Alvin and the Chipmunks: The Squeakquel,70000000,18801277,-1
Who Framed Roger Rabbit?,70000000,19083711,0.97
Runaway Bride,70000000,12000000,0.46
xXx,70000000,17311194,0.48
Oceanâs 8,70000000,15523247,0.69
Ransom,70000000,44769760,-1
Inglourious Basterds,70000000,15761,0.88
Hook,70000000,17554030,0.26
Die Hard 2,70000000,3692833,0.68
S.W.A.T.,70000000,13548444,0.47
Daddyâs Home 2,70000000,10837742,0.2
Sleepy Hollow,70000000,10048000,0.68
Vanilla Sky,70000000,8408000,0.42
Hercules,70000000,171854,0.83
Olympus Has Fallen,70000000,10062141,0.49
Battle: Los Angeles,70000000,13399310,0.36
AVP: Alien Vs. Predator,70000000,16700000,-1
War Horse,70000000,7515402,0.76
We Were Soldiers,70000000,5545000,0.63
The Monuments Men,70000000,6914842,0.3
Storks,70000000,5766213,0.65
Star Trek: Insurrection,70000000,9020000,0.55
Big Fish,70000000,979380,-1
Wolf,70000000,25405602,-1
Underworld: Awakening,70000000,9339076,0.27
The Lego Ninjago Movie,70000000,5790055,0.55
Dracula Untold,70000000,8920830,0.24
The Guardian,70000000,5600000,-1
The Abyss,70000000,13824688,-1
Wall Street 2: Money Never Sleeps,70000000,6913160,0.55
The Dilemma,70000000,6174225,0.24
Rumor Has It,70000000,3470000,0.2
The Siege,70000000,4700000,-1
Stardust,70000000,3030048,0.76
Rock of Ages,70000000,5294141,-1
Seven Years in Tibet,70000000,27245,-1
Sky Captain and the World of Tomorrow,70000000,5100000,-1
The Brave One,70000000,4629333,0.43
I Spy,70000000,4255000,0.16
Bad Company,70000000,3880000,-1
Doom,70000000,5857775,0.19
The Finest Hours,70000000,3335087,0.64
Escape Plan,70000000,3398330,0.51
Killer Elite,70000000,3406208,-1
Hard Rain,70000000,1915000,0.28
Hart's War,70000000,2061000,0.59
Rollerball,70000000,2920000,0.68
The Legend of Hercules,70000000,3161415,0.03
Next,70000000,2378521,0.28
Ballistic: Ecks vs. Sever,70000000,2415371,0.0
Osmosis Jones,70000000,1860000,0.55
Legends of Oz: Dorothyâs Return,70000000,1007382,0.16
Blackhat,70000000,1385015,0.33
Basic Instinct 2,70000000,1136273,0.07
Agora,70000000,11051,0.53
Despicable Me,69000000,21342640,-1
Dinner for Schmucks,69000000,8395042,0.42
Red Sparrow,69000000,6012929,0.47
The Twilight Saga: Eclipse,68000000,68533840,0.48
The Sum of All Fears,68000000,9535000,-1
Ted 2,68000000,13286120,0.46
The Score,68000000,6011000,-1
Hall Pass,68000000,4633070,0.33
Money Train,68000000,13187973,0.22
Dreamcatcher,68000000,5454567,0.29
Mystery Men,68000000,3335000,0.6
The Insider,68000000,2002000,-1
Downsizing,68000000,2050305,0.49
Doctor Seuss' The Lorax,67500000,17526300,-1
Body of Lies,67500000,4382221,0.55
Abraham Lincoln: Vampire Hunter,67500000,6251342,0.35
Last Man Standing,67000000,9118213,0.37
The Last Legion,67000000,902009,-1
Entrapment,66000000,6980000,0.38
The X Files: Fight the Future,66000000,12635000,-1
Need for Speed,66000000,6662415,0.23
Saving Private Ryan,65000000,9705000,0.93
What Women Want,65000000,11115000,0.54
Lincoln,65000000,268131,-1
Ice Age,65000000,13743000,0.77
Apollo 13,65000000,46005195,0.95
The Matrix,65000000,4803310,0.88
Hotel Transylvania 3: Summer Vacation,65000000,16930506,0.61
Les Miserables,65000000,18111665,-1
The Santa Clause 2,65000000,7528000,0.55
Total Recall,65000000,36080900,0.82
You've Got Mail,65000000,6020000,0.68
Unbroken,65000000,15434400,0.51
Spy!,65000000,10300960,-1
Due Date,65000000,12216515,0.4
Step Brothers,65000000,11847675,-1
Jumanji,65000000,17102238,0.76
The Mask of Zorro,65000000,7430000,-1
Space Cowboys,65000000,5206000,0.78
Annie,65000000,5289149,0.54
Cliffhanger,65000000,25021370,-1
Peteâs Dragon,65000000,6952488,0.5
Broken Arrow,65000000,20350691,-1
World Trade Center,65000000,4403386,0.67
The Kid,65000000,4230528,0.49
Mona Lisa Smile,65000000,4300000,0.34
The Dictator,65000000,4175274,-1
Eyes Wide Shut,65000000,7760000,0.75
This Means War,65000000,5583770,0.26
Focus,65000000,6451899,0.56
Blade: Trinity,65000000,5524000,0.25
Red Dawn,65000000,4164915,0.46
We Are Marshall,65000000,2700000,0.48
Everest,65000000,2298380,-1
Resident Evil: Retribution,65000000,8363335,0.3
Primary Colors,65000000,3630000,0.81
Fight Club,65000000,3785000,0.79
Death Race,65000000,4620775,0.42
The Long Kiss Goodnight,65000000,12593975,-1
Proof of Life,65000000,3270000,0.39
Zathura,65000000,5097943,0.75
The Missing,65000000,1900000,-1
Elektra,65000000,4500000,0.1
Astro Boy,65000000,1823193,0.5
"I, Frankenstein",65000000,2866972,0.05
Hudson Hawk,65000000,8460035,0.26
Sin City: A Dame to Kill For,65000000,2619741,0.42
Live by Night,65000000,33336,0.35
Lucky Numbers,65000000,1738493,0.22
Oliver Twist,65000000,89222,-1
Tian jiang xiong shi,65000000,51889,0.36
Air Strike,65000000,-1,-1
Little Man,64000000,7539849,0.12
Random Hearts,64000000,4070000,0.15
Perfume: The Story of a Murderer,63700000,13000,0.58
Jurassic Park,63000000,3100000,0.91
Austin Powers in Goldmember,63000000,3554000,0.54
Hop,63000000,11524380,-1
American Assassin,63000000,5783488,-1
Wyatt Earp,63000000,10336293,-1
Clear and Present Danger,62000000,30593315,0.8
U-571,62000000,7936115,0.68
The American President,62000000,16325059,0.91
The Hateful Eight,62000000,1918147,0.74
The Love Guru,62000000,5332926,-1
3000 Miles to Graceland,62000000,2185000,-1
Gone Girl,61000000,13179535,0.87
Blades of Glory,61000000,12375952,0.7
Maze Runner: The Scorch Trials,61000000,11003998,0.47
2 Guns,61000000,9937125,0.64
Maze Runner: The Death Cure,61000000,8448249,0.43
Mei Ren Yu,60720000,361031,0.94
Meet the Fockers,60000000,12066740,0.39
The Lego Movie,60000000,17094132,0.95
300,60000000,28106731,-1
Wild Hogs,60000000,11250573,0.14
Marley & Me,60000000,14380980,-1
The Green Mile,60000000,5749000,0.79
The Truman Show,60000000,10055000,-1
Sully,60000000,12160687,0.86
The Bourne Identity,60000000,8800000,-1
Couples Retreat,60000000,12478510,0.11
Goldeneye,60000000,39094491,0.78
The Italian Job,60000000,5953466,-1
Daddy Day Care,60000000,7599276,0.27
The General's Daughter,60000000,6970000,-1
The Prince of Egypt,60000000,4265000,-1
Collateral,60000000,8200000,0.86
Cats & Dogs,60000000,9023454,-1
Two Weeks Notice,60000000,4664000,0.42
Antz,60000000,4205000,0.93
The Scorpion King,60000000,12602000,-1
Red,60000000,7306494,0.71
Starsky & Hutch,60000000,9800000,-1
Days of Thunder,60000000,23805672,0.39
Cheaper by the Dozen 2,60000000,2549891,0.06
Eat Pray Love,60000000,8456809,0.36
Jack Reacher,60000000,5021737,0.63
Man on Fire,60000000,7300000,0.39
The Family Man,60000000,3890000,-1
Contagion,60000000,7984564,-1
Any Given Sunday,60000000,3623513,0.52
The Horse Whisperer,60000000,4400000,-1
Coraline,60000000,4487086,0.9
Ladder 49,60000000,7500000,0.41
Deep Blue Sea,60000000,3022665,-1
Michael Jackson's This Is It,60000000,7445661,0.81
Kangaroo Jack,60000000,3723227,0.08
The Happening,60000000,13091901,-1
London Has Fallen,60000000,7537518,0.26
Rules of Engagement,60000000,4499000,0.36
The Shaggy Dog,60000000,4152717,-1
Jingle All the Way,60000000,13598514,0.15
Hellboy,60000000,8780000,0.81
Jack Reacher: Never Go Back,60000000,8848149,0.38
Baywatch,60000000,4606514,-1
A Civil Action,60000000,4290000,-1
Joy,60000000,6897909,-1
ParaNorman,60000000,4598833,0.88
The Jackal,60000000,5080000,-1
Paycheck,60000000,5300000,0.27
Up Close & Personal,60000000,14222896,-1
The Tale of Despereaux,60000000,3538560,-1
The Boxtrolls,60000000,4928333,0.76
The Dark Tower,60000000,7724436,-1
The Tuxedo,60000000,4595676,-1
Jack Ryan: Shadow Recruit,60000000,5350191,0.55
Under Siege 2: Dark Territory,60000000,18408956,0.37
Miss Congeniality 2: Armed and Fabulous,60000000,3110000,0.15
Vice,60000000,4784212,-1
Alien: Resurrection,60000000,5100000,0.55
Shooter,60000000,4783160,0.47
Practical Magic,60000000,4300000,0.2
Gangster Squad,60000000,6714883,-1
Smurfs: The Lost Village,60000000,4100320,0.38
First Man,60000000,5783310,0.87
Year One,60000000,8455312,0.15
Edge of Darkness,60000000,5610820,0.56
Star Trek: Nemesis,60000000,7732988,0.37
Reign of Fire,60000000,5802000,0.42
Planet 51,60000000,3185083,0.22
Duplicity,60000000,4684680,-1
Righteous Kill,60000000,5847388,0.18
Invictus,60000000,2922572,0.76
State of Play,60000000,4583125,-1
My Favorite Martian,60000000,1810000,0.12
The Sentinel,60000000,4802942,-1
Trouble with the Curve,60000000,4171545,0.51
Intolerable Cruelty,60000000,4137000,0.75
The Relic,60000000,12045341,-1
Mercury Rising,60000000,3380000,0.17
Almost Famous,60000000,738000,0.89
Analyze That,60000000,3765000,0.27
The Soloist,60000000,3204135,-1
The Mortal Instruments: City of Bones,60000000,3006254,0.14
The Legend of Bagger Vance,60000000,3812000,-1
Dragonfly,60000000,3389000,0.07
Priest,60000000,5632212,0.15
Garfield: A Tail of Two Kitties,60000000,2476448,-1
XXX: State of the Union,60000000,4179324,0.17
Event Horizon,60000000,3088865,0.27
Sinbad: Legend of the Seven Seas,60000000,1523000,0.45
Dark Water,60000000,3873273,0.47
The Avengers,60000000,3770000,-1
The Black Dahlia,60000000,3706290,-1
EDtv,60000000,2805000,0.64
The Spirit,60000000,3842223,0.14
The Last Castle,60000000,2216000,-1
Inkheart,60000000,2103467,0.38
Supernova,60000000,1789000,-1
Flyboys,60000000,1999865,0.33
Winter's Tale,60000000,3652687,-1
Holy Man,60000000,1540000,0.12
Meet Dave,60000000,1725487,0.2
The Great Raid,60000000,1100000,-1
Rock Dog,60000000,899598,0.47
Mortdecai,60000000,1488897,0.12
In the Name of the King: A Dungeon Siege Tale,60000000,961000,0.04
Beyond Borders,60000000,678966,0.14
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,60000000,310816,-1
The Ridiculous 6,60000000,-1,0.0
Sherlock Gnomes,59000000,2801819,0.27
The Kid Who Would Be King,59000000,1702409,0.9
Deadpool,58000000,47335592,0.84
American Sniper,58000000,240211,0.72
Goosebumps,58000000,7346090,-1
Rambo III,58000000,20172456,0.39
Sabrina,58000000,8533526,-1
Red Tails,58000000,5981106,0.4
Just Like Heaven,58000000,5601505,0.55
The Internship,58000000,6473241,0.35
The Flintstones in Viva Rock Vegas,58000000,3180870,0.25
Leatherheads,58000000,4596540,0.52
Life,58000000,4406810,0.5
Did You Hear About the Morgans?,58000000,2338392,-1
"Che, Part 1: The Argentine",58000000,117338,-1
Sex and the City,57500000,26771052,0.49
Resident Evil: Afterlife,57500000,10738962,0.23
That's My Boy,57500000,4552140,0.2
Devil's Advocate,57000000,3755000,0.67
Ghost Rider: Spirit of Vengeance,57000000,6934834,0.18
Dragonheart,57000000,19862765,0.5
After the Sunset,57000000,3600000,0.18
Captain Corelli's Mandolin,57000000,2330000,0.28
Into the Woods,56200000,15089740,-1
Anger Management,56000000,15772000,-1
The Pacifier,56000000,8600000,-1
Walking Tall,56000000,5540000,0.26
Zhuo yao ji,56000000,32766,-1
Forrest Gump,55000000,108628,0.72
Alvin and the Chipmunks,55000000,13300713,-1
Bohemian Rhapsody,55000000,18811564,0.61
Hitch,55000000,14000000,0.68
Meet the Parents,55000000,8561000,0.84
The Pursuit of Happyness,55000000,8951750,-1
Pocahontas,55000000,4953359,-1
Superman,55000000,2187100,-1
The Nutty Professor,55000000,8360000,-1
Fifty Shades Darker,55000000,21444970,0.12
Captain Phillips,55000000,8488587,0.93
George Of The Jungle,55000000,3277315,-1
American Wedding,55000000,12228060,0.54
Murder on the Orient Express,55000000,10733814,0.91
The Equalizer,55000000,12495441,0.6
Fifty Shades Freed,55000000,18407850,0.12
Casper,55000000,25511615,0.44
Date Night,55000000,9170065,0.67
Maid in Manhattan,55000000,6572968,0.39
Crimson Tide,55000000,25544515,0.88
Flightplan,55000000,8200154,0.37
Disclosure,55000000,13614388,0.58
City of Angels,55000000,5935000,0.58
Paddington,55000000,4654579,-1
R.V.,55000000,4599523,0.23
Stargate,55000000,22093966,0.48
Kill Bill: Volume 1,55000000,8072000,-1
Mr. Poppers's Penguins,55000000,6369445,-1
Bowfinger,55000000,5830000,0.81
Kill Bill: Volume 2,55000000,10600000,0.84
Tango & Cash,55000000,12206055,-1
Death Becomes Her,55000000,17844985,0.52
Shanghai Noon,55000000,4538000,0.79
